# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	4.571376E-14	1.408006E-19	5.000000E-05	3.748814E-12	4.216880E-12	1.135849E-20	2.689548E-16	9.257373E-08	2.495371E-05
2.000000E+00	9.598309E-14	4.016542E-19	4.999999E-05	6.330232E-12	5.991100E-12	2.332950E-20	4.672484E-16	1.150600E-07	2.494247E-05
4.000000E+00	1.760719E-13	8.871227E-19	4.999999E-05	9.405100E-12	9.730815E-12	6.127891E-20	9.192585E-16	1.429524E-07	2.492852E-05
6.000000E+00	3.381727E-13	2.179268E-18	4.999999E-05	1.473585E-11	1.508974E-11	1.433901E-19	1.709840E-15	1.776093E-07	2.491119E-05
8.000000E+00	6.419258E-13	5.305698E-18	4.999998E-05	2.298277E-11	2.368077E-11	3.356296E-19	3.186997E-15	2.207638E-07	2.488961E-05
1.000000E+01	1.215572E-12	1.304117E-17	4.999996E-05	3.601252E-11	3.726675E-11	7.717509E-19	5.900603E-15	2.746366E-07	2.486266E-05
1.200000E+01	2.296057E-12	3.234394E-17	4.999994E-05	5.667558E-11	5.880579E-11	1.744725E-18	1.085860E-14	3.420826E-07	2.482893E-05
1.400000E+01	4.299832E-12	7.991836E-17	4.999991E-05	8.901250E-11	9.356115E-11	3.928100E-18	1.999273E-14	4.267825E-07	2.478656E-05
1.600000E+01	8.065890E-12	2.006642E-16	4.999985E-05	1.408943E-10	1.484276E-10	8.634254E-18	3.646878E-14	5.334877E-07	2.473319E-05
1.800000E+01	1.499112E-11	5.004099E-16	4.999976E-05	2.221913E-10	2.371167E-10	1.895318E-17	6.665454E-14	6.683347E-07	2.466572E-05
2.000000E+01	2.777516E-11	1.253148E-15	4.999962E-05	3.510021E-10	3.786583E-10	4.107423E-17	1.213510E-13	8.392386E-07	2.458021E-05
2.200000E+01	5.120126E-11	3.134663E-15	4.999940E-05	5.539113E-10	6.048519E-10	8.828759E-17	2.205171E-13	1.056383E-06	2.447153E-05
2.400000E+01	9.387980E-11	7.814435E-15	4.999903E-05	8.720884E-10	9.654675E-10	1.884810E-16	4.000590E-13	1.332812E-06	2.433316E-05
2.600000E+01	1.711672E-10	1.936811E-14	4.999846E-05	1.367960E-09	1.538439E-09	4.001313E-16	7.245658E-13	1.685122E-06	2.415675E-05
2.800000E+01	3.103237E-10	4.762613E-14	4.999755E-05	2.135101E-09	2.444448E-09	8.452940E-16	1.309498E-12	2.134246E-06	2.393181E-05
3.000000E+01	5.594643E-10	1.159464E-13	4.999613E-05	3.311355E-09	3.868687E-09	1.777845E-15	2.359883E-12	2.706264E-06	2.364521E-05
3.200000E+01	1.002846E-09	2.787575E-13	4.999390E-05	5.094659E-09	6.093818E-09	3.725485E-15	4.237540E-12	3.433142E-06	2.328088E-05
3.400000E+01	1.787497E-09	6.604929E-13	4.999045E-05	7.764000E-09	9.545199E-09	7.779415E-15	7.573178E-12	4.353220E-06	2.281950E-05
3.600000E+01	3.168358E-09	1.539277E-12	4.998513E-05	1.170053E-08	1.485824E-08	1.618993E-14	1.345352E-11	5.511118E-06	2.223858E-05
3.800000E+01	5.584814E-09	3.521764E-12	4.997700E-05	1.740677E-08	2.297485E-08	3.358397E-14	2.372454E-11	6.956613E-06	2.151298E-05
4.000000E+01	9.789505E-09	7.897708E-12	4.996468E-05	2.551741E-08	3.528111E-08	6.944508E-14	4.146872E-11	8.741803E-06	2.061632E-05
4.200000E+01	1.706115E-08	1.733318E-11	4.994612E-05	3.678670E-08	5.381049E-08	1.431818E-13	7.173811E-11	1.091578E-05	1.952368E-05
4.400000E+01	2.955160E-08	3.717691E-11	4.991834E-05	5.203797E-08	8.154070E-08	2.944891E-13	1.226334E-10	1.351596E-05	1.821594E-05
4.600000E+01	5.083792E-08	7.781429E-11	4.987695E-05	7.205191E-08	1.228374E-07	6.046488E-13	2.068260E-10	1.655580E-05	1.668597E-05
4.800000E+01	8.677403E-08	1.586916E-10	4.981553E-05	9.737753E-08	1.841229E-07	1.240619E-12	3.435929E-10	2.000962E-05	1.494633E-05
5.000000E+01	1.467540E-07	3.147644E-10	4.972454E-05	1.280721E-07	2.748892E-07	2.547043E-12	5.613727E-10	2.379785E-05	1.303676E-05
5.200000E+01	2.454968E-07	6.060424E-10	4.958986E-05	1.634283E-07	4.092259E-07	5.239652E-12	9.007867E-10	2.777894E-05	1.102837E-05
5.400000E+01	4.054318E-07	1.130448E-09	4.939049E-05	2.018177E-07	6.080708E-07	1.081291E-11	1.418046E-09	3.175692E-05	9.019921E-06
5.600000E+01	6.597109E-07	2.039488E-09	4.909539E-05	2.408184E-07	9.023745E-07	2.239435E-11	2.188789E-09	3.551086E-05	7.123068E-06
5.800000E+01	1.055813E-06	3.555835E-09	4.865937E-05	2.777044E-07	1.337224E-06	4.650263E-11	3.312529E-09	3.884237E-05	5.438305E-06
6.000000E+01	1.659594E-06	5.992431E-09	4.801828E-05	3.101409E-07	1.976609E-06	9.654480E-11	4.917678E-09	4.162263E-05	4.031157E-06
6.200000E+01	2.559225E-06	9.772855E-09	4.708451E-05	3.367194E-07	2.907925E-06	1.994180E-10	7.165846E-09	4.381485E-05	2.920634E-06
6.400000E+01	3.867463E-06	1.544933E-08	4.574459E-05	3.570471E-07	4.244343E-06	4.070396E-10	1.025178E-08	4.546274E-05	2.084981E-06
6.600000E+01	5.718891E-06	2.370460E-08	4.386228E-05	3.714193E-07	6.121699E-06	8.142046E-10	1.439231E-08	4.665710E-05	1.478545E-06
6.800000E+01	8.256600E-06	3.530653E-08	4.129245E-05	3.803360E-07	8.684593E-06	1.580869E-09	1.979518E-08	4.750154E-05	1.049162E-06
7.000000E+01	1.160137E-05	5.096265E-08	3.791260E-05	3.841084E-07	1.205491E-05	2.947585E-09	2.659809E-08	4.809035E-05	7.494720E-07
7.200000E+01	1.579859E-05	7.101203E-08	3.367672E-05	3.826660E-07	1.627807E-05	5.216045E-09	3.477495E-08	4.849942E-05	5.415684E-07
7.400000E+01	2.074937E-05	9.494488E-08	2.868514E-05	3.756063E-07	2.125353E-05	8.653365E-09	4.402732E-08	4.878574E-05	3.973134E-07
7.600000E+01	2.615621E-05	1.209380E-07	2.323940E-05	3.625159E-07	2.668027E-05	1.330541E-08	5.372022E-08	4.899027E-05	2.967446E-07
7.800000E+01	3.154040E-05	1.458999E-07	1.782428E-05	3.435259E-07	3.207514E-05	1.881061E-08	6.295796E-08	4.914139E-05	2.260651E-07
8.000000E+01	3.637497E-05	1.664994E-07	1.297220E-05	3.198305E-07	3.690810E-05	2.442195E-08	7.085443E-08	4.925758E-05	1.758698E-07
8.200000E+01	4.028445E-05	1.807729E-07	9.060316E-06	2.936876E-07	4.080413E-05	2.933829E-08	7.688079E-08	4.934986E-05	1.397854E-07
8.400000E+01	4.316648E-05	1.889394E-07	6.187939E-06	2.677053E-07	4.366484E-05	3.309518E-08	8.102968E-08	4.942427E-05	1.134982E-07
8.600000E+01	4.514859E-05	1.927408E-07	4.221995E-06	2.439348E-07	4.562299E-05	3.566938E-08	8.367978E-08	4.948422E-05	9.408178E-08
8.800000E+01	4.645467E-05	1.942047E-07	2.933477E-06	2.234477E-07	4.690659E-05	3.730297E-08	8.533015E-08	4.953214E-05	7.953975E-08
9.000000E+01	4.729841E-05	1.948878E-07	2.105335E-06	2.064759E-07	4.773166E-05	3.829349E-08	8.641467E-08	4.957011E-05	6.849892E-08
9.200000E+01	4.784139E-05	1.957407E-07	1.574359E-06	1.927663E-07	4.826063E-05	3.888567E-08	8.724342E-08	4.959998E-05	6.000530E-08
9.400000E+01	4.819247E-05	1.972599E-07	1.231131E-06	1.818752E-07	4.860235E-05	3.924937E-08	8.801612E-08	4.962333E-05	5.338905E-08
9.600000E+01	4.842103E-05	1.996691E-07	1.006296E-06	1.733370E-07	4.882586E-05	3.949309E-08	8.885466E-08	4.964146E-05	4.817476E-08
9.800000E+01	4.857027E-05	2.030500E-07	8.568914E-07	1.667367E-07	4.897391E-05	3.968338E-08	8.983162E-08	4.965539E-05	4.402129E-08
