Display Setting,Diameter

Item,Value,Unit
Y32SE6-400uM-NP500nm-0.1pct-cooling3_7638.nsz,,
Measurement Results,,
Date,2026”N1ŒŽ28“ú 15:48:19,
Measurement Type,Particle Size,
Sample Name,Y32SE6-400uM-NP500nm-0.1pct-cooling3,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,55.9,°C
Dispersion Medium Viscosity,0.501,mPa·s
Transmission Intensity before Meas.,22148,
Transmission Intensity after Meas.,22377,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,101,kCPS
ACF Intercept,0.992,
Calculation Results,,
Cumulant Operations,,
Z-Average,7329.1,nm
PI,5.621,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.99492,0.995548
2,0.993817,0.994487
3,0.992422,0.993044
4,0.990272,0.991063
5,0.987786,0.988443
6,0.984902,0.985155
7,0.981614,0.981109
8,0.977345,0.976267
9,0.972433,0.970767
10,0.967628,0.965007
11,0.962797,0.959558
12,0.958137,0.955015
13,0.954091,0.951763
14,0.95103,0.949725
15,0.948086,0.948384
16,0.945404,0.947125
17,0.942605,0.945532
18,0.939064,0.943355
19,0.934913,0.940358
20,0.930008,0.936238
21,0.923984,0.930581
22,0.916609,0.922829
23,0.907857,0.912234
24,0.896022,0.897811
25,0.879495,0.878277
26,0.859238,0.852012
27,0.834231,0.817045
28,0.804082,0.77113
29,0.765068,0
30,0.707822,0
31,0.643449,0
32,0.564273,0
33,0.473128,0
34,0.373521,0
35,0.192047,0
36,0.01,0


