Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP500nm-01pct-cooling5_5986.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ4“ú 17:08:10,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP500nm-01pct-cooling5,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,73.9,°C
Dispersion Medium Viscosity,0.387,mPa·s
Transmission Intensity before Meas.,10927,
Transmission Intensity after Meas.,10768,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,1216,kCPS
ACF Intercept,0.995,
Calculation Results,,
Cumulant Operations,,
Z-Average,1561.9,nm
PI,0.511,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.996535,0.996627
2,0.995943,0.995865
3,0.994892,0.994873
4,0.99351,0.993554
5,0.991863,0.991873
6,0.989863,0.98985
7,0.987485,0.987456
8,0.984627,0.984649
9,0.98137,0.981378
10,0.977551,0.97754
11,0.972884,0.972897
12,0.967078,0.967067
13,0.959545,0.959537
14,0.949653,0.949637
15,0.936443,0.936471
16,0.918866,0.918889
17,0.895499,0.895505
18,0.86481,0.864753
19,0.825043,0.824986
20,0.774686,0.774712
21,0.712749,0.713005
22,0.640241,0.640151
23,0.558857,0.558428
24,0.472612,0.472702
25,0.389538,0.39015
26,0.317884,0.318255
27,0.263103,0.261225
28,0.215992,0.217231
29,0.169542,0
30,0.139105,0
31,0.138373,0
32,0.145481,0
33,0.10469,0
34,0.0847971,0
35,0.0322532,0
36,0.01,0


