Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	5.36	22	30	4.11	0.915	0.993
2	1150	0.015	6.43	32.3	30	5.03	1.34	0.997
3	1310	0.0225	8.98	48.1	30	5.35	2.01	1.01
4	1410	0.0338	14.9	70.6	30	4.74	2.95	1
5	1480	0.0508	26.8	102	30	3.81	4.34	1.01
6	1530	0.0763	51	144	30	2.82	6.23	1
7	1560	0.115	94	192	30	2.04	8.76	1.01
8	1590	0.172	160	237	30	1.48	11.7	1
9	1610	0.258	246	266	30	1.08	14.8	1
10	1630	0.387	340	273	30	0.804	17.8	1
11	1640	0.582	429	259	30	0.604	20.4	0.999
12	1640	0.873	504	231	30	0.459	22.6	1
13	1650	1.31	564	199	30	0.352	24.4	1
14	1660	1.97	609	166	30	0.272	25.7	1
15	1660	2.96	644	136	30	0.211	26.8	1
16	1670	4.44	668	110	30	0.165	27.5	0.999
17	1680	6.66	681	89.4	30	0.131	27.9	1
18	1680	10	681	72.9	30	0.107	27.9	1
