Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	1.68	23.7	30	14.1	0.962	0.994
2	1250	0.015	3.53	35.4	30	10	1.45	1
3	1410	0.0225	7.58	52.7	30	6.95	2.18	1.01
4	1510	0.0338	15.6	77.2	30	4.97	3.23	1.01
5	1580	0.0508	32.8	110	30	3.35	4.68	1
6	1630	0.0763	63.5	149	30	2.35	6.65	1.01
7	1660	0.115	114	188	30	1.65	8.97	1
8	1690	0.172	181	216	30	1.19	11.5	1
9	1710	0.258	258	227	30	0.879	14	0.999
10	1720	0.387	332	221	30	0.665	16.3	1.01
11	1730	0.582	397	204	30	0.513	18.1	1
12	1740	0.873	452	180	30	0.399	19.8	0.999
13	1740	1.31	496	157	30	0.317	21.1	0.998
14	1750	1.97	533	134	30	0.252	22.4	1
15	1760	2.96	561	114	30	0.203	23.3	1
16	1760	4.44	582	95.2	30	0.164	24	1
17	1770	6.66	593	80.1	30	0.135	24.4	1
18	1780	10	593	68.1	30	0.115	24.3	1

