Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	7620	0.001	35.5	123	20	3.47	5.21	0.999
2	10500	0.00158	72.4	177	20	2.44	7.68	0.989
3	11900	0.00251	136	235	20	1.73	11.1	1.01
4	12700	0.00398	227	284	20	1.25	14.8	0.997
5	13300	0.00631	339	315	20	0.929	19	1.01
6	13600	0.01	457	318	20	0.697	22.6	0.998
7	13900	0.0158	567	300	20	0.529	26.3	1.01
8	14000	0.0251	662	268	20	0.405	29.1	1
9	14100	0.0398	739	231	20	0.313	31.6	1
10	14100	0.0631	800	194	20	0.242	33.5	0.999
11	14100	0.1	848	161	20	0.19	35	0.997
12	14200	0.158	886	132	20	0.149	36.5	1
13	14200	0.251	917	108	20	0.118	37.5	0.999
14	14200	0.398	941	88.6	20	0.0941	38.4	0.997
15	14200	0.631	960	72.2	20	0.0752	39.1	0.997
16	14200	1	975	58.3	20	0.0598	39.6	0.996
17	14200	1.58	987	49.1	20	0.0497	40.2	0.999
18	14200	2.51	997	42.1	20	0.0422	40.7	1
19	14200	3.98	1010	37.3	20	0.0371	40.9	1
20	14300	6.31	1010	36.2	20	0.0358	41.2	1
21	14300	10	1020	37.3	20	0.0366	41.5	1
