Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	192	0.05	654	397	20	0.606	31.1	1
2	251	0.0778	779	360	20	0.462	34.8	0.995
3	273	0.121	884	311	20	0.352	38.3	1
4	295	0.188	965	262	20	0.272	40.7	0.999
5	314	0.292	1 030	214	20	0.209	42.6	0.998
6	326	0.455	1 070	173	20	0.161	44.2	0.998
7	335	0.707	1 110	139	20	0.125	45.5	0.998
8	343	1.1	1 140	109	20	0.0955	46.5	0.998
9	350	1.71	1 160	84.1	20	0.0724	47.4	1
10	357	2.66	1 170	65.7	20	0.0561	48	1.01
11	365	4.14	1 190	54.1	20	0.0454	48.6	1
12	372	6.43	1 210	46.2	20	0.0382	49.3	1
13	380	10	1 240	41.7	20	0.0337	50.4	1
