Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	71.3	0.1	6.58	48.4	29.9	7.37	1.97	0.991
2	104	0.158	15.2	73.8	29.9	4.85	3.06	0.999
3	126	0.251	33.2	109	30	3.28	4.66	1
4	140	0.398	67.3	152	30	2.26	6.81	1
5	149	0.631	124	198	30	1.6	9.5	1
6	157	1	203	233	30	1.15	12.6	1
7	165	1.58	297	249	30	0.838	15.8	1
8	172	2.51	392	238	30	0.606	18.7	1
9	182	3.98	474	208	30	0.438	21	1
10	190	6.31	538	170	30	0.315	23	1
11	198	10	592	134	30	0.226	24.7	1
