Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	71.3	0.1	11.6	68.1	30	5.85	2.8	0.995
2	111	0.158	26.2	103	30	3.94	4.33	1
3	132	0.251	56.3	150	30	2.66	6.54	1.01
4	146	0.398	110	201	30	1.84	9.37	1
5	156	0.631	190	246	30	1.3	12.7	1
6	162	1	290	271	30	0.934	16.2	1
7	170	1.58	397	270	30	0.68	19.5	0.998
8	178	2.51	491	242	30	0.493	22.3	1
9	188	3.98	569	203	30	0.356	24.6	1
10	195	6.31	631	162	30	0.257	26.5	1
11	202	10	690	125	30	0.182	28.5	1
