Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	192	0.05	136	259	25	1.9	11.8	0.989
2	262	0.0809	243	324	25	1.34	16.5	1
3	290	0.131	378	365	25	0.965	21.5	1
4	315	0.212	524	369	25	0.704	26.1	1
5	331	0.343	660	340	25	0.515	30.2	1
6	339	0.556	770	291	25	0.378	33.6	1
7	344	0.9	856	236	25	0.276	36.1	0.998
8	352	1.46	915	186	25	0.204	38	1
9	358	2.36	958	144	25	0.15	39.5	1
10	368	3.82	991	108	25	0.109	40.6	1
11	376	6.18	1020	82.2	25	0.0808	41.5	1
12	383	10	1040	64.4	25	0.0616	42.6	1

