Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	6.94	42.4	30	6.11	1.67	0.955
2	1090	0.015	13.9	61.9	30	4.45	2.52	0.977
3	1240	0.0225	27.4	87.5	30	3.19	3.78	1.01
4	1350	0.0338	51.8	118	30	2.28	5.26	1
5	1420	0.0508	89.5	150	30	1.68	7.16	1.01
6	1460	0.0763	142	176	30	1.24	9.16	0.998
7	1500	0.115	202	190	30	0.941	11.3	0.999
8	1530	0.172	264	191	30	0.726	13.3	1
9	1540	0.258	321	184	30	0.573	15.1	1
10	1560	0.387	372	171	30	0.46	16.7	1
11	1570	0.582	416	157	30	0.376	18.1	0.999
12	1570	0.873	456	141	30	0.309	19.5	1
13	1580	1.31	490	126	30	0.257	20.6	0.999
14	1590	1.97	520	112	30	0.215	21.6	1
15	1590	2.96	546	98.2	30	0.18	22.6	1
16	1600	4.44	568	86.2	30	0.152	23.4	1
17	1610	6.66	586	75.4	30	0.129	24	1
18	1620	10	601	67.9	30	0.113	24.6	1
