Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	4.57	22	30	4.81	0.9	0.986
2	1250	0.015	6.18	32.6	30	5.27	1.34	0.993
3	1410	0.0225	9.06	48	30	5.3	2	1.01
4	1510	0.0338	14.8	71.6	30	4.83	2.99	1.01
5	1580	0.0508	27.2	103	30	3.79	4.34	1
6	1630	0.0763	50.7	146	30	2.87	6.31	1.01
7	1660	0.115	93.2	195	30	2.09	8.84	1.01
8	1690	0.172	160	242	30	1.51	11.9	1
9	1710	0.258	249	275	30	1.11	15.1	1
10	1730	0.387	346	284	30	0.822	18.2	1
11	1740	0.582	440	270	30	0.613	21	0.999
12	1740	0.873	517	241	30	0.467	23.2	1
13	1750	1.31	581	207	30	0.356	25	0.998
14	1760	1.97	628	172	30	0.274	26.5	1
15	1760	2.96	663	141	30	0.213	27.6	1
16	1770	4.44	687	114	30	0.166	28.4	1
17	1780	6.66	700	92.2	30	0.132	28.7	1
18	1780	10	699	75.7	30	0.108	28.6	1
