Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	148	113	30	0.764	7.62	1.01
2	1220	0.015	184	116	30	0.629	8.67	0.979
3	1330	0.0225	211	114	30	0.537	9.86	1.01
4	1440	0.0338	244	117	30	0.479	10.9	0.992
5	1510	0.0508	275	118	30	0.431	12.2	0.999
6	1550	0.0763	306	117	30	0.384	13.3	0.995
7	1580	0.115	336	119	30	0.355	14.5	0.998
8	1620	0.172	367	118	30	0.32	15.7	1
9	1640	0.258	399	117	30	0.293	16.9	0.999
10	1650	0.387	430	115	30	0.267	18.1	0.998
11	1660	0.582	460	112	30	0.244	19.2	0.998
12	1670	0.873	490	108	30	0.221	20.4	0.998
13	1680	1.31	519	103	30	0.2	21.5	0.999
14	1680	1.97	546	96.9	30	0.178	22.5	1
15	1690	2.96	571	90.3	30	0.158	23.5	1
16	1700	4.44	594	84.2	30	0.142	24.4	1
17	1700	6.66	617	78.1	30	0.127	25.3	0.999
18	1710	10	641	74.7	30	0.116	26.3	1
