Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	3.41	23.9	30	6.99	0.973	0.992
2	1150	0.015	5.25	35.4	30	6.75	1.45	0.993
3	1310	0.0225	8.24	52.3	30	6.35	2.17	1.01
4	1410	0.0338	14.7	77.3	30	5.27	3.22	1.01
5	1480	0.0508	28.6	112	30	3.92	4.73	1.01
6	1530	0.0763	55.2	157	30	2.84	6.79	1
7	1560	0.115	103	208	30	2.02	9.48	1
8	1590	0.172	175	256	30	1.46	12.7	1
9	1610	0.258	269	287	30	1.07	16	1
10	1630	0.387	369	292	30	0.79	19.2	1
11	1640	0.582	464	276	30	0.595	22	1
12	1640	0.873	544	245	30	0.45	24.3	0.999
13	1650	1.31	606	208	30	0.344	26.1	1
14	1650	1.97	653	173	30	0.265	27.5	1
15	1660	2.96	687	141	30	0.205	28.5	0.999
16	1670	4.44	711	114	30	0.16	29.3	1
17	1680	6.66	723	91.6	30	0.127	29.7	1
18	1680	10	720	74.7	30	0.104	29.5	1

