Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	92.1	0.1	204	296	24.9	1.45	14.6	0.997
2	132	0.158	317	340	25	1.07	18.9	0.997
3	153	0.251	449	355	25	0.789	23.3	0.999
4	167	0.398	581	338	25	0.581	27.5	1.01
5	174	0.631	691	299	25	0.432	30.7	1
6	179	1	778	248	25	0.319	33.2	1
7	187	1.58	842	199	25	0.236	35.3	1
8	194	2.51	888	155	25	0.174	36.7	1
9	204	3.98	923	119	25	0.128	37.9	1
10	211	6.31	952	90.3	25	0.0948	38.9	1
11	219	10	987	70.4	25	0.0714	40.2	0.999
