Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	50.6	0.1	1.32	3.04	40	2.29	0.134	0.996
2	77.9	0.152	1.53	4.37	40	2.85	0.189	1
3	96.3	0.231	1.84	6.41	40	3.49	0.272	1
4	112	0.351	2.26	9.36	40	4.15	0.393	1
5	120	0.534	3.13	13.9	40	4.42	0.584	1.01
6	128	0.811	4.87	20.3	40	4.17	0.852	1
7	134	1.23	8.4	29.5	40	3.51	1.25	1.01
8	141	1.87	14.3	41.2	40	2.88	1.78	1
9	147	2.85	24.6	55.9	40	2.27	2.48	0.998
10	155	4.33	38.9	70.3	40	1.81	3.27	0.999
11	162	6.58	55.6	83.1	40	1.49	4.07	1
12	168	10	66	91.6	40	1.39	4.59	1
