Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	1.77	19.7	30	11.1	0.798	0.991
2	1150	0.015	2.93	29.2	30	9.99	1.2	1
3	1310	0.0225	5.62	43.6	30	7.76	1.82	1.01
4	1410	0.0338	10.9	64.4	30	5.91	2.68	1.01
5	1480	0.0508	22.3	93.4	30	4.19	3.94	1.01
6	1530	0.0763	45.2	131	30	2.9	5.63	0.998
7	1560	0.115	84	173	30	2.06	7.89	1.01
8	1590	0.172	144	213	30	1.48	10.5	1
9	1610	0.258	220	239	30	1.09	13.2	1
10	1630	0.387	303	246	30	0.809	15.9	0.999
11	1640	0.582	383	235	30	0.614	18.4	1.01
12	1640	0.873	451	212	30	0.47	20.2	0.999
13	1650	1.31	506	184	30	0.365	21.9	1
14	1650	1.97	549	155	30	0.282	23.3	1
15	1660	2.96	584	130	30	0.223	24.3	1
16	1670	4.44	609	107	30	0.176	25.2	1
17	1670	6.66	627	88.4	30	0.141	25.8	1
18	1680	10	634	73.4	30	0.116	26	1
