Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	2.32	20.3	30	8.77	0.828	0.994
2	1150	0.015	3.47	30.3	30	8.75	1.24	0.996
3	1350	0.0225	5.97	44.9	30	7.52	1.86	1.01
4	1460	0.0338	11.6	66.4	30	5.7	2.77	1.01
5	1530	0.0508	23.1	96.2	30	4.17	4.07	1.01
6	1570	0.0763	46.1	135	30	2.92	5.82	1
7	1610	0.115	87	179	30	2.06	8.13	1
8	1640	0.172	148	220	30	1.48	10.8	1
9	1660	0.258	228	247	30	1.09	13.7	1
10	1670	0.387	314	254	30	0.81	16.4	0.999
11	1680	0.582	396	243	30	0.613	19	1
12	1690	0.873	467	218	30	0.467	21	1
13	1690	1.31	524	189	30	0.362	22.7	1
14	1700	1.97	569	160	30	0.281	24.1	1
15	1700	2.96	602	133	30	0.221	25.1	1
16	1710	4.44	625	109	30	0.174	25.8	1
17	1720	6.66	638	88.9	30	0.139	26.2	1
18	1730	10	636	73.4	30	0.115	26.1	1
