Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	2.99	20.8	30	6.96	0.852	0.995
2	1150	0.015	4.23	30.8	30	7.28	1.26	0.996
3	1310	0.0225	6.66	45.9	30	6.89	1.91	1.01
4	1410	0.0338	12.2	67.8	30	5.58	2.82	1.01
5	1480	0.0508	24	98.7	30	4.11	4.16	1.01
6	1530	0.0763	46.9	138	30	2.95	5.95	1
7	1560	0.115	88	185	30	2.1	8.38	1.01
8	1590	0.172	152	229	30	1.51	11.2	1
9	1610	0.258	235	258	30	1.1	14.2	1
10	1630	0.387	326	266	30	0.815	17.1	0.999
11	1640	0.582	412	253	30	0.614	19.7	1
12	1640	0.873	486	226	30	0.466	21.9	1
13	1650	1.31	545	196	30	0.36	23.5	0.998
14	1660	1.97	590	163	30	0.276	25	1
15	1660	2.96	624	135	30	0.216	26	1
16	1670	4.44	647	110	30	0.17	26.7	1
17	1680	6.66	660	89.2	30	0.135	27.1	1
18	1680	10	659	73.2	30	0.111	27	1
