Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	50.6	0.1	0.585	5.29	35	9.05	0.215	0.995
2	76.8	0.158	0.843	8.3	35	9.84	0.34	1
3	98.2	0.251	1.37	13	35	9.49	0.534	1
4	112	0.398	2.54	20.4	35	8.05	0.84	1
5	121	0.631	5.3	31.9	35	6.01	1.32	1
6	128	1	12.2	48.8	35	3.99	2.05	1
7	136	1.58	25.5	71.5	35	2.8	3.09	1
8	143	2.51	51.8	98.5	35	1.9	4.53	0.999
9	151	3.98	94.5	123	35	1.3	6.3	1
10	157	6.31	154	137	35	0.888	8.38	1
11	165	10	230	137	35	0.596	10.9	1
