Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	4.58	37.3	30	8.14	1.47	0.964
2	1090	0.015	9.49	55.3	30	5.83	2.23	0.977
3	1240	0.0225	19.5	79.7	30	4.09	3.37	1.01
4	1350	0.0338	38.8	111	30	2.86	4.84	1.01
5	1420	0.0508	72.1	147	30	2.03	6.72	1.01
6	1460	0.0763	123	180	30	1.47	8.82	0.994
7	1500	0.115	186	202	30	1.08	11.2	1.01
8	1530	0.172	255	209	30	0.82	13.4	1
9	1540	0.258	320	203	30	0.635	15.5	1
10	1550	0.387	379	189	30	0.5	17.2	1
11	1560	0.582	429	172	30	0.4	18.8	1
12	1570	0.873	472	153	30	0.325	20.3	1
13	1580	1.31	509	136	30	0.266	21.3	0.994
14	1580	1.97	540	118	30	0.218	22.5	1
15	1590	2.96	566	102	30	0.181	23.4	1
16	1600	4.44	587	88.4	30	0.151	24.1	1
17	1600	6.66	602	76.6	30	0.127	24.7	1
18	1610	10	609	67.3	30	0.11	24.9	1
