Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	289	370	20	1.28	18.6	0.973
2	1150	0.0154	427	410	20	0.96	24.1	1
3	1290	0.0237	573	419	20	0.731	28.8	0.998
4	1390	0.0365	714	401	20	0.561	33.5	1.01
5	1450	0.0562	837	362	20	0.433	37	0.998
6	1480	0.0866	938	314	20	0.334	40.3	1
7	1500	0.133	1020	264	20	0.26	42.8	1
8	1520	0.205	1080	219	20	0.203	44.7	0.998
9	1540	0.316	1130	179	20	0.159	46.4	0.998
10	1550	0.487	1170	144	20	0.124	47.8	0.999
11	1560	0.75	1190	116	20	0.0971	48.9	1
12	1570	1.15	1220	94.2	20	0.0774	49.5	0.996
13	1580	1.78	1230	73.9	20	0.0599	50.4	1
14	1580	2.74	1240	59.4	20	0.0477	50.7	1
15	1590	4.22	1260	50	20	0.0398	51.1	1
16	1600	6.49	1260	44.4	20	0.0353	51.3	1
17	1610	10	1260	41.8	20	0.0332	51.2	1
