Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	50.6	0.1	0.373	3.43	34.9	9.21	0.14	0.997
2	76.8	0.158	0.617	5.34	34.9	8.66	0.219	1
3	98.2	0.251	0.993	8.27	35	8.32	0.339	1
4	112	0.398	1.64	12.9	35	7.83	0.528	1
5	121	0.631	3.14	20.2	35	6.41	0.83	1
6	128	1	6.63	30.7	35	4.63	1.28	1
7	135	1.58	14.2	46.3	35	3.26	1.98	1
8	141	2.51	29.6	66	35	2.23	2.94	1
9	150	3.98	57.3	86.9	35	1.52	4.23	1
10	156	6.31	101	104	35	1.03	5.89	1
11	163	10	164	113	35	0.684	8.11	0.999
