Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	81.7	0.1	81.3	151	30	1.86	6.99	1
2	121	0.158	136	189	30	1.4	9.45	0.997
3	143	0.251	207	220	30	1.06	12.4	1.01
4	157	0.398	289	237	30	0.821	15.2	1
5	164	0.631	375	239	30	0.636	18.2	1
6	169	1	458	225	30	0.491	20.7	0.996
7	176	1.58	529	199	30	0.376	23.1	1
8	184	2.51	587	168	30	0.286	24.8	1
9	193	3.98	630	136	30	0.215	26.2	1
10	201	6.31	663	108	30	0.163	27.3	1
11	209	10	688	85.1	30	0.124	28.2	1
