Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	57.9	141	25	2.43	5.98	0.966
2	1140	0.0158	104	185	25	1.78	8.6	0.994
3	1280	0.0251	172	230	25	1.34	11.7	1
4	1370	0.0398	258	265	25	1.03	15.2	1.01
5	1420	0.0631	357	284	25	0.795	18.5	0.996
6	1460	0.1	460	283	25	0.616	22	1
7	1490	0.158	556	266	25	0.478	25.2	1
8	1500	0.251	640	237	25	0.37	27.8	1
9	1510	0.398	708	202	25	0.285	29.9	0.997
10	1520	0.631	761	167	25	0.219	31.8	1
11	1530	1	801	134	25	0.167	33.1	1
12	1540	1.58	832	109	25	0.131	34.1	0.998
13	1550	2.51	855	85.2	25	0.0997	34.9	1
14	1560	3.98	871	68.2	25	0.0783	35.6	1
15	1560	6.31	881	55.3	25	0.0627	35.9	1
16	1570	10	886	47.5	25	0.0536	36.1	1
