Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	1.65	22.7	30	13.7	0.92	0.992
2	1150	0.015	3.26	33.9	30	10.4	1.38	0.991
3	1310	0.0225	6.89	50.5	30	7.33	2.1	1.01
4	1410	0.0338	14.5	74.1	30	5.12	3.07	0.999
5	1480	0.0508	29.5	106	30	3.6	4.53	1.01
6	1530	0.0763	57.9	146	30	2.53	6.41	1
7	1560	0.115	106	188	30	1.77	8.84	1.01
8	1590	0.172	174	220	30	1.27	11.5	1.01
9	1610	0.258	253	236	30	0.933	14.1	1
10	1630	0.387	331	232	30	0.7	16.4	0.997
11	1640	0.582	401	215	30	0.536	18.6	1
12	1640	0.873	460	191	30	0.416	20.2	0.997
13	1650	1.31	508	165	30	0.326	21.7	0.999
14	1650	1.97	546	141	30	0.258	23	1
15	1660	2.96	577	118	30	0.205	24	1
16	1670	4.44	601	98.5	30	0.164	24.8	1
17	1680	6.66	620	82	30	0.132	25.5	1
18	1680	10	633	69.1	30	0.109	25.9	1

