Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	851	0.01	2.24	24.4	30	10.9	0.985	0.989
2	1150	0.015	3.67	36.2	30	9.86	1.48	0.998
3	1310	0.0225	7.76	54.1	30	6.97	2.25	1.01
4	1410	0.0338	15.4	79.5	30	5.17	3.31	1
5	1480	0.0508	31.6	113	30	3.59	4.85	1.01
6	1530	0.0763	61.9	157	30	2.54	6.85	0.998
7	1560	0.115	113	201	30	1.77	9.42	1.01
8	1590	0.172	185	237	30	1.28	12.3	1
9	1610	0.258	271	254	30	0.938	15.1	1
10	1630	0.387	357	250	30	0.701	17.7	0.999
11	1640	0.582	433	230	30	0.531	19.9	1
12	1640	0.873	495	202	30	0.408	21.7	0.998
13	1650	1.31	544	173	30	0.318	23.2	1
14	1650	1.97	586	146	30	0.249	24.7	1
15	1660	2.96	615	120	30	0.195	25.5	1
16	1670	4.44	641	99.5	30	0.155	26.4	1
17	1670	6.66	663	81.6	30	0.123	27.2	1
18	1680	10	683	67.8	30	0.0993	27.9	1
