Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	902	0.01	184	113	30	0.613	7.98	0.909
2	1200	0.015	218	114	30	0.522	9.77	0.978
3	1310	0.0225	246	117	30	0.478	11.2	1.01
4	1420	0.0338	279	120	30	0.431	12.2	0.987
5	1490	0.0508	310	119	30	0.383	13.5	1
6	1540	0.0763	341	119	30	0.349	14.7	1
7	1570	0.115	373	122	30	0.326	15.9	0.997
8	1600	0.172	406	120	30	0.296	17.2	1
9	1620	0.258	438	119	30	0.271	18.4	0.998
10	1630	0.387	469	115	30	0.246	19.6	0.998
11	1640	0.582	500	112	30	0.224	20.8	0.998
12	1650	0.873	529	107	30	0.202	21.9	0.999
13	1660	1.31	556	102	30	0.183	23	0.999
14	1660	1.97	581	95.3	30	0.164	24	1
15	1670	2.96	607	90.9	30	0.15	25.1	1
16	1680	4.44	627	85.7	30	0.137	25.7	1
17	1690	6.66	648	82.1	30	0.127	26.6	1
18	1690	10	670	80.8	30	0.121	27.5	1
