Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	71.3	0.1	4.28	26.5	35	6.19	1.1	1
2	106	0.152	8.07	39.1	35	4.84	1.62	0.998
3	129	0.231	15.4	56.2	35	3.65	2.38	1
4	144	0.351	28.6	78.3	35	2.74	3.4	1
5	155	0.534	51	104	35	2.05	4.74	1
6	163	0.811	84.3	131	35	1.56	6.35	1
7	171	1.23	129	154	35	1.2	8.17	1
8	178	1.87	181	169	35	0.932	10.1	1
9	185	2.85	238	174	35	0.731	12	1
10	193	4.33	292	168	35	0.575	13.7	1
11	200	6.58	338	154	35	0.456	15.1	1
12	207	10	368	135	35	0.367	15.9	1
