Display Setting,Diameter

Item,Value,Unit
Y16SE6-1mM-NP500nm-0.1pct-properprotocol2-2_2927.nsz,,
Measurement Results,,
Date,2025”N2ŒŽ27“ú 2:07:55,
Measurement Type,Particle Size,
Sample Name,Y16SE6-1mM-NP500nm-0.1pct-properprotocol2-2,
Scattering Angle,90,
Temperature of the Holder,48.8,°C
Dispersion Medium Viscosity,0.560,mPa·s
Transmission Intensity before Meas.,16475,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,1420,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),187.0,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,187.0,nm
Peak1 S. D.,29.5,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,29.5,nm
Peak1 Mode,182.8,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,182.8,nm
Cumulant Operations,,
Z-Average,2701.6,nm
PI,4.503,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.989182,0.990504
2,0.986441,0.988025
3,0.983197,0.984654
4,0.978748,0.980031
5,0.973174,0.973922
6,0.966439,0.966265
7,0.958414,0.956859
8,0.948551,0.945633
9,0.937255,0.932937
10,0.925476,0.919734
11,0.913544,0.907394
12,0.902732,0.897348
13,0.893903,0.890524
14,0.886796,0.886777
15,0.881855,0.884965
16,0.877988,0.883788
17,0.874819,0.882472
18,0.87165,0.880694
19,0.868379,0.878246
20,0.864744,0.87488
21,0.860728,0.870255
22,0.856146,0.863911
23,0.850823,0.85523
24,0.844889,0.843392
25,0.837525,0.827321
26,0.8289,0.805641
27,0.818508,0.776648
28,0.805435,0
29,0.788127,0
30,0.764586,0
31,0.732972,0
32,0.689806,0
33,0.630791,0
34,0.544314,0
35,0.402461,0
36,0.01,0


