Display Setting,Diameter

Item,Value,Unit
Y16SE6-1mM-NP500nm-0.1pct-properprotocol2-cooling4-2_3426.nsz,,
Measurement Results,,
Date,2025”N2ŒŽ28“ú 23:43:35,
Measurement Type,Particle Size,
Sample Name,Y16SE6-1mM-NP500nm-0.1pct-properprotocol2-cooling4-2,
Scattering Angle,90,
Temperature of the Holder,57.0,°C
Dispersion Medium Viscosity,0.493,mPa·s
Transmission Intensity before Meas.,16361,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,940,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,0.24,
Peak2 S.P.Area Ratio,0.67,
Peak3 S.P.Area Ratio,0.09,
Total Area Ratio,1.00,
Peak1 Size (Mean),1.0,nm
Peak2 Size (Mean),198.9,nm
Peak3 Size (Mean),6963.6,nm
Total Mean,732.4,nm
Peak1 S. D.,0.1,nm
Peak2 S. D.,21.2,nm
Peak3 S. D.,291.7,nm
Total S. D.,1915.1,nm
Peak1 Mode,1.1,nm
Peak2 Mode,200.9,nm
Peak3 Mode,7010.1,nm
Total Mode,200.9,nm
Cumulant Operations,,
Z-Average,---,nm
PI,---,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.99398,0.994041
2,0.992947,0.992898
3,0.991384,0.991431
4,0.989525,0.989461
5,0.98686,0.986908
6,0.98386,0.983783
7,0.97997,0.980046
8,0.975679,0.975712
9,0.970962,0.970946
10,0.966135,0.966081
11,0.961547,0.961488
12,0.95738,0.957418
13,0.953766,0.95388
14,0.950622,0.95064
15,0.94746,0.947397
16,0.944018,0.943902
17,0.939911,0.939883
18,0.934849,0.934925
19,0.928316,0.928483
20,0.919895,0.91995
21,0.908771,0.908637
22,0.893954,0.893688
23,0.874019,0.873994
24,0.847981,0.848152
25,0.814107,0.814499
26,0.771192,0.771304
27,0.717525,0.717113
28,0.651793,0.651224
29,0.574357,0.574247
30,0.488023,0.488521
31,0.396727,0.398027
32,0.304251,0.307564
33,0.231477,0.221747
34,0.201718,0
35,0.150705,0
36,0.01,0


