Display Setting,Diameter

Item,Value,Unit
Y32SE6-400uM-NP500nm-0.1pct-cooling4_7866.nsz,,
Measurement Results,,
Date,2026”N1ŒŽ30“ú 16:43:43,
Measurement Type,Particle Size,
Sample Name,Y32SE6-400uM-NP500nm-0.1pct-cooling4,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,47.0,°C
Dispersion Medium Viscosity,0.577,mPa·s
Transmission Intensity before Meas.,22348,
Transmission Intensity after Meas.,22390,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,87,kCPS
ACF Intercept,0.820,
Calculation Results,,
Cumulant Operations,,
Z-Average,53.2,nm
PI,0.268,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.892569,0.893216
2,0.880645,0.879882
3,0.862068,0.862597
4,0.840192,0.839565
5,0.809006,0.809738
6,0.773085,0.772741
7,0.727278,0.727172
8,0.67133,0.671726
9,0.606977,0.606519
10,0.53418,0.534153
11,0.458795,0.459112
12,0.387361,0.387041
13,0.32241,0.32345
14,0.272868,0.271932
15,0.233534,0.232923
16,0.203515,0.204277
17,0.181623,0.182915
18,0.16858,0.166139
19,0.150794,0.152106
20,0.139773,0.139754
21,0.128351,0.128556
22,0.118948,0.118283
23,0.108011,0.108789
24,0.100273,0.0998655
25,0.0914017,0
26,0.0842245,0
27,0.0769636,0
28,0.0678237,0
29,0.0583788,0
30,0.0498156,0
31,0.0379979,0
32,0.0337937,0
33,0.0280095,0
34,0.0260999,0
35,0.0149183,0
36,0.01,0


