# concentration (uM) 	 Tm (C)
3.000000E+00	1.595000E+01
6.000000E+00	1.851346E+01
1.500000E+01	2.214057E+01
3.000000E+01	2.504242E+01
6.000000E+01	2.808900E+01
1.500000E+02	3.231745E+01
3.000000E+02	3.568488E+01
6.000000E+02	3.922023E+01
1.500000E+03	4.420954E+01
1.800000E+03	4.525133E+01
2.400000E+03	4.693990E+01
3.000000E+03	4.828754E+01
4.500000E+03	5.083417E+01
