# concentration (uM) 	 Tm (C)
3.000000E+00	5.803671E+00
6.000000E+00	5.817256E+00
1.500000E+01	5.857578E+00
3.000000E+01	5.923397E+00
6.000000E+01	6.063879E+00
1.500000E+02	6.497252E+00
3.000000E+02	7.095716E+00
6.000000E+02	8.030596E+00
1.500000E+03	1.016913E+01
1.800000E+03	1.074459E+01
2.400000E+03	1.171162E+01
3.000000E+03	1.256606E+01
4.500000E+03	1.430207E+01
