# temperature	SE	SE+SE
0.000000E+00	2.968743E-06	1.562858E-08
2.000000E+00	2.976227E-06	1.188664E-08
4.000000E+00	2.981824E-06	9.087953E-09
6.000000E+00	2.986026E-06	6.987080E-09
8.000000E+00	2.989193E-06	5.403373E-09
1.000000E+01	2.991592E-06	4.203998E-09
1.200000E+01	2.993418E-06	3.291213E-09
1.400000E+01	2.994814E-06	2.592966E-09
1.600000E+01	2.995888E-06	2.056006E-09
1.800000E+01	2.996718E-06	1.640845E-09
2.000000E+01	2.997364E-06	1.318096E-09
2.200000E+01	2.997868E-06	1.065799E-09
2.400000E+01	2.998265E-06	8.674789E-10
2.600000E+01	2.998579E-06	7.107176E-10
2.800000E+01	2.998828E-06	5.861151E-10
3.000000E+01	2.999027E-06	4.865231E-10
3.200000E+01	2.999187E-06	4.064806E-10
3.400000E+01	2.999316E-06	3.417961E-10
3.600000E+01	2.999422E-06	2.892375E-10
3.800000E+01	2.999507E-06	2.463011E-10
4.000000E+01	2.999578E-06	2.110383E-10
4.200000E+01	2.999636E-06	1.819254E-10
4.400000E+01	2.999684E-06	1.577656E-10
4.600000E+01	2.999725E-06	1.376144E-10
4.800000E+01	2.999759E-06	1.207230E-10
5.000000E+01	2.999787E-06	1.064954E-10
5.200000E+01	2.999811E-06	9.445445E-11
5.400000E+01	2.999832E-06	8.421707E-11
5.600000E+01	2.999849E-06	7.547400E-11
5.800000E+01	2.999864E-06	6.797459E-11
6.000000E+01	2.999877E-06	6.151482E-11
6.200000E+01	2.999888E-06	5.592789E-11
6.400000E+01	2.999898E-06	5.107691E-11
6.600000E+01	2.999906E-06	4.684903E-11
6.800000E+01	2.999914E-06	4.315087E-11
7.000000E+01	2.999920E-06	3.990484E-11
7.200000E+01	2.999926E-06	3.704622E-11
7.400000E+01	2.999931E-06	3.452083E-11
7.600000E+01	2.999935E-06	3.228312E-11
7.800000E+01	2.999939E-06	3.029469E-11
8.000000E+01	2.999943E-06	2.852302E-11
8.200000E+01	2.999946E-06	2.694049E-11
8.400000E+01	2.999949E-06	2.552355E-11
8.600000E+01	2.999951E-06	2.425208E-11
8.800000E+01	2.999954E-06	2.310879E-11
9.000000E+01	2.999956E-06	2.207881E-11
9.200000E+01	2.999958E-06	2.114931E-11
9.400000E+01	2.999959E-06	2.030916E-11
9.600000E+01	2.999961E-06	1.954871E-11
9.800000E+01	2.999962E-06	1.885956E-11
