# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	3.935106E-13	1.036184E-20	4.999999E-06	3.086462E-13	7.127144E-13	3.244661E-22	1.317929E-16	3.952115E-07	2.302394E-06
2.000000E+00	6.316371E-13	2.247891E-20	4.999999E-06	4.488003E-13	1.080614E-12	7.589853E-22	2.426399E-16	5.112244E-07	2.244388E-06
4.000000E+00	1.008777E-12	4.835611E-20	4.999998E-06	6.474712E-13	1.647299E-12	1.756134E-21	4.439728E-16	6.562577E-07	2.171871E-06
6.000000E+00	1.603128E-12	1.031691E-19	4.999997E-06	9.259565E-13	2.528172E-12	4.025028E-21	8.068207E-16	8.352281E-07	2.082386E-06
8.000000E+00	2.556317E-12	2.219391E-19	4.999996E-06	1.322027E-12	3.878633E-12	9.003801E-21	1.443112E-15	1.052689E-06	1.973655E-06
1.000000E+01	4.072271E-12	4.769621E-19	4.999994E-06	1.873064E-12	5.980273E-12	1.987359E-20	2.549717E-15	1.312063E-06	1.843968E-06
1.200000E+01	6.540834E-12	1.042178E-18	4.999991E-06	2.652373E-12	9.188805E-12	4.259954E-20	4.405311E-15	1.614566E-06	1.692716E-06
1.400000E+01	1.051627E-11	2.279493E-18	4.999986E-06	3.717827E-12	1.417936E-11	9.022034E-20	7.489906E-15	1.957901E-06	1.521048E-06
1.600000E+01	1.688151E-11	4.958595E-18	4.999978E-06	5.131313E-12	2.203719E-11	1.903302E-19	1.255040E-14	2.334950E-06	1.332523E-06
1.800000E+01	2.725239E-11	1.086613E-17	4.999966E-06	7.004219E-12	3.425298E-11	3.955073E-19	2.055798E-14	2.732959E-06	1.133517E-06
2.000000E+01	4.407424E-11	2.376633E-17	4.999947E-06	9.395312E-12	5.345031E-11	8.184174E-19	3.302225E-14	3.133946E-06	9.330225E-07
2.200000E+01	7.142329E-11	5.182027E-17	4.999916E-06	1.236364E-11	8.371263E-11	1.691155E-18	5.200078E-14	3.516945E-06	7.415212E-07
2.400000E+01	1.158538E-10	1.122393E-16	4.999868E-06	1.593204E-11	1.317056E-10	3.507527E-18	8.042795E-14	3.862051E-06	5.689666E-07
