# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
0.000000E+00	1.367242E-23	1.345695E-40	1.024348E-58	3.002299E-75	8.600457E-42	2.127445E-23	1.185462E-15	2.483695E-08	9.875815E-07	8.487895E-27	1.539204E-44	7.641631E-23	9.313429E-40	1.614286E-57	1.569513E-74
2.000000E+00	4.341824E-23	1.056220E-39	2.012076E-57	1.346721E-73	5.997073E-41	6.009381E-23	2.113030E-15	3.248736E-08	9.837563E-07	3.182622E-26	1.417925E-43	2.656728E-22	6.566225E-39	3.023880E-56	6.099471E-73
4.000000E+00	1.382344E-22	8.358045E-39	4.024475E-56	6.148540E-72	4.243722E-40	1.699650E-22	3.806076E-15	4.290310E-08	9.785484E-07	1.180564E-25	1.329696E-42	9.131812E-22	4.601430E-38	5.701571E-55	2.463166E-71
6.000000E+00	4.415404E-22	6.667348E-38	8.205270E-55	2.862482E-70	3.049149E-39	4.813076E-22	6.925072E-15	5.720471E-08	9.713976E-07	4.334585E-25	1.267617E-41	3.103268E-21	3.215051E-37	1.083897E-53	1.034441E-69
8.000000E+00	1.415793E-21	5.360538E-37	1.706935E-53	1.361402E-68	2.225501E-38	1.364239E-21	1.271290E-14	7.696420E-08	9.615179E-07	1.576265E-24	1.226731E-40	1.042781E-20	2.249178E-36	2.081668E-52	4.516364E-68
1.000000E+01	4.559831E-21	4.342605E-36	3.626036E-52	6.627026E-67	1.650334E-37	3.868273E-21	2.349940E-14	1.043538E-07	9.478231E-07	5.680716E-24	1.203015E-39	3.465483E-20	1.583478E-35	4.046618E-51	2.048179E-66
1.200000E+01	1.475811E-20	3.543373E-35	7.869017E-51	3.307606E-65	1.242938E-36	1.096232E-20	4.360591E-14	1.423071E-07	9.288464E-07	2.029944E-23	1.192434E-38	1.139230E-19	1.128051E-34	7.972770E-50	9.638473E-65
1.400000E+01	2.313878E-21	6.758421E-37	1.951541E-53	9.139142E-69	2.204831E-38	1.494070E-21	8.089240E-14	1.946511E-07	9.026744E-07	1.492813E-21	5.124627E-35	7.688323E-18	3.518984E-31	1.423140E-44	8.716884E-58
1.600000E+01	8.459487E-21	6.973920E-36	6.158179E-52	7.503591E-67	2.128240E-37	4.703507E-21	1.492060E-13	2.661215E-07	8.669391E-07	4.691883E-21	4.098682E-34	2.212816E-17	2.081288E-30	2.061402E-43	2.815632E-56
1.800000E+01	3.111611E-20	7.241173E-35	1.981941E-50	6.341294E-65	2.072817E-36	1.471604E-20	2.717576E-13	3.620953E-07	8.189521E-07	1.458063E-20	3.249624E-33	6.290099E-17	1.252537E-29	3.003429E-42	9.309022E-55
2.000000E+01	1.156321E-19	7.624615E-34	6.573475E-49	5.604488E-63	2.043860E-35	4.579248E-20	4.845672E-13	4.877875E-07	7.561058E-07	4.443721E-20	2.502698E-32	1.755130E-16	7.558765E-29	4.308489E-41	3.055889E-53
2.200000E+01	4.409557E-19	8.397997E-33	2.349779E-47	5.507931E-61	2.092497E-34	1.433450E-19	8.370430E-13	6.466144E-07	6.766920E-07	1.298713E-19	1.786189E-31	4.716734E-16	4.381172E-28	5.724730E-40	9.154176E-52
2.400000E+01	1.795610E-18	1.048029E-31	1.018644E-45	7.051390E-59	2.393081E-33	4.674289E-19	1.383694E-12	8.376092E-07	5.811940E-07	3.462833E-19	1.069706E-30	1.167263E-15	2.214775E-27	6.128338E-39	2.070664E-50
2.600000E+01	8.255909E-18	1.658201E-30	6.328571E-44	1.469822E-56	3.396960E-32	1.670279E-18	2.160237E-12	1.052481E-06	4.737574E-07	7.865739E-19	4.701516E-30	2.499397E-15	8.560865E-27	4.361425E-38	2.729072E-49
2.800000E+01	4.702345E-17	4.009126E-29	7.446941E-42	7.234840E-54	7.170107E-31	7.144285E-18	3.147293E-12	1.274255E-06	3.628694E-07	1.369021E-18	1.232851E-29	4.191691E-15	2.060390E-26	1.522754E-37	1.394667E-48
