# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
0.000000E+00	4.176138E-15	1.167008E-24	5.392690E-36	1.219798E-45	1.991931E-25	8.357408E-14	1.551094E-11	1.480139E-06	1.499260E-03	4.874427E-15	1.826522E-21	1.988062E-11	2.524631E-19	4.283495E-27	9.189762E-35
2.000000E+00	9.913807E-15	5.537592E-24	5.454163E-35	2.527573E-44	9.271299E-25	1.820168E-13	2.460314E-11	1.953866E-06	1.499023E-03	8.632896E-15	3.406187E-21	2.690435E-11	4.704758E-19	9.034366E-27	2.318732E-34
4.000000E+00	3.461399E-14	5.693303E-23	1.765372E-33	2.450843E-42	9.385040E-24	5.834886E-13	3.910049E-11	2.585218E-06	1.498707E-03	1.036776E-14	2.905773E-21	2.482238E-11	3.987487E-19	5.910845E-27	1.230777E-34
6.000000E+00	8.352697E-14	2.800701E-22	1.898197E-32	5.425738E-41	4.564266E-23	1.293780E-12	6.226607E-11	3.427592E-06	1.498286E-03	1.797672E-14	5.140376E-21	3.326346E-11	6.967716E-19	1.157750E-26	2.824631E-34
8.000000E+00	2.263156E-13	1.739536E-21	2.907204E-31	1.910746E-39	2.815202E-22	3.223225E-12	9.936397E-11	4.552305E-06	1.497724E-03	2.771529E-14	7.154151E-21	3.988785E-11	9.522474E-19	1.586443E-26	4.035889E-34
1.000000E+01	1.150216E-12	3.805129E-20	2.955486E-29	8.334114E-37	6.145068E-21	1.506837E-11	1.589066E-10	6.054386E-06	1.496973E-03	2.275592E-14	2.811861E-21	2.563769E-11	3.652515E-19	3.270681E-27	4.627636E-35
1.200000E+01	1.646700E-12	6.605479E-20	6.748097E-29	2.287809E-36	1.070109E-20	1.984217E-11	2.546927E-10	8.060105E-06	1.495970E-03	6.629730E-14	1.387035E-20	5.883684E-11	1.746568E-18	3.005325E-26	8.411320E-34
1.400000E+01	5.063574E-12	5.284811E-19	1.531991E-27	1.334193E-34	8.637402E-20	5.608397E-11	4.091480E-10	1.073670E-05	1.494631E-03	8.993714E-14	1.480964E-20	6.323578E-11	1.794392E-18	2.786818E-26	7.206766E-34
1.600000E+01	9.705401E-12	1.638940E-18	8.437494E-27	1.170179E-33	2.718831E-19	9.867390E-11	6.588110E-10	1.430478E-05	1.492847E-03	1.958654E-13	4.077007E-20	1.096647E-10	4.713342E-18	1.071412E-25	4.125740E-33
1.800000E+01	1.722867E-11	4.342795E-18	3.690379E-26	7.505888E-33	7.359489E-19	1.604294E-10	1.063363E-09	1.905398E-05	1.490472E-03	4.610979E-13	1.315566E-19	2.064762E-10	1.437135E-17	5.228147E-25	3.255108E-32
2.000000E+01	3.547192E-11	1.539437E-17	2.511925E-25	8.638424E-32	2.683049E-18	3.015814E-10	1.720511E-09	2.536244E-05	1.487317E-03	9.373220E-13	3.185183E-19	3.368806E-10	3.251071E-17	1.655209E-24	1.445985E-31
2.200000E+01	6.807711E-11	4.707846E-17	1.378245E-24	7.423822E-31	8.497797E-18	5.263306E-10	2.790513E-09	3.372035E-05	1.483136E-03	2.047530E-12	8.994300E-19	5.923236E-10	8.466807E-17	6.571111E-24	8.702710E-31
2.400000E+01	1.307546E-10	1.429677E-16	7.528622E-24	6.316059E-30	2.691671E-17	9.148090E-10	4.536554E-09	4.475786E-05	1.477616E-03	4.476326E-12	2.579500E-18	1.044644E-09	2.206629E-16	2.649355E-23	5.355624E-30
2.600000E+01	2.526921E-10	4.353077E-16	4.154042E-23	5.426619E-29	8.609063E-17	1.590883E-09	7.390962E-09	5.927653E-05	1.470353E-03	9.737225E-12	7.455944E-18	1.836538E-09	5.702193E-16	1.068499E-22	3.302319E-29
2.800000E+01	4.877859E-10	1.308689E-15	2.262414E-22	4.568798E-28	2.737581E-16	2.746350E-09	1.206311E-08	7.828284E-05	1.460844E-03	2.121184E-11	2.208269E-17	3.238742E-09	1.483881E-15	4.404042E-22	2.099808E-28
3.000000E+01	9.507150E-10	3.968548E-15	1.255588E-21	3.935947E-27	8.838193E-16	4.755556E-09	1.971342E-08	1.030200E-04	1.448465E-03	4.571903E-11	6.560350E-17	5.660542E-09	3.806121E-15	1.792360E-21	1.315641E-27
3.200000E+01	1.847487E-09	1.184095E-14	6.838497E-21	3.303089E-26	2.824147E-15	8.155092E-09	3.222977E-08	1.349920E-04	1.432463E-03	9.855288E-11	2.001227E-16	9.913796E-09	9.860155E-15	7.453075E-21	8.505348E-27
3.400000E+01	3.594760E-09	3.509022E-14	3.705383E-20	2.753192E-25	9.008574E-15	1.390915E-08	5.265673E-08	1.759705E-04	1.411946E-03	2.110696E-10	6.190794E-16	1.729302E-08	2.553398E-14	3.110523E-20	5.542420E-26
3.600000E+01	6.983356E-09	1.028330E-13	1.983091E-19	2.260842E-24	2.852955E-14	2.353164E-08	8.584164E-08	2.279700E-04	1.385902E-03	4.491329E-10	1.941716E-15	3.006599E-08	6.629197E-14	1.305918E-19	3.652611E-25
3.800000E+01	1.352638E-08	2.977512E-13	1.046125E-18	1.827046E-23	8.950407E-14	3.944968E-08	1.393648E-07	2.931736E-04	1.353227E-03	9.476560E-10	6.144192E-15	5.204707E-08	1.723531E-13	5.496659E-19	2.423500E-24
4.000000E+01	2.608904E-08	8.514477E-13	5.430697E-18	1.452619E-22	2.775974E-13	6.547726E-08	2.247964E-07	3.737893E-04	1.312801E-03	1.977820E-09	1.949343E-14	8.958980E-08	4.477896E-13	2.309156E-18	1.609059E-23
4.200000E+01	4.998384E-08	2.398647E-12	2.760941E-17	1.131150E-21	8.475077E-13	1.073829E-07	3.592388E-07	4.718184E-04	1.263597E-03	4.076298E-09	6.172447E-14	1.532876E-07	1.161897E-12	9.665826E-18	1.066241E-22
4.400000E+01	9.494063E-08	6.648300E-12	1.370241E-16	8.606165E-21	2.538611E-12	1.737645E-07	5.669385E-07	5.887299E-04	1.204843E-03	8.276405E-09	1.939181E-13	2.604407E-07	3.004263E-12	4.016356E-17	7.013604E-22
4.600000E+01	1.784187E-07	1.810429E-11	6.615702E-16	6.378495E-20	7.434575E-12	2.770376E-07	8.804683E-07	7.250573E-04	1.136216E-03	1.651399E-08	6.010833E-13	4.389767E-07	7.721910E-12	1.650444E-16	4.554642E-21
4.800000E+01	3.310295E-07	4.836086E-11	3.095679E-15	4.587371E-19	2.120967E-11	4.345549E-07	1.340642E-06	8.799734E-04	1.058056E-03	3.230626E-08	1.829030E-12	7.333742E-07	1.968223E-11	6.683729E-16	2.905181E-20
5.000000E+01	6.051107E-07	1.265321E-10	1.398800E-14	3.187741E-18	5.874072E-11	6.698275E-07	1.994127E-06	1.050939E-03	9.715329E-04	6.182998E-08	5.439058E-12	1.213369E-06	4.962570E-11	2.658163E-15	1.811054E-19
5.200000E+01	1.087685E-06	3.238156E-10	6.082719E-14	2.130413E-17	1.574583E-10	1.013779E-06	2.887976E-06	1.233559E-03	8.787163E-04	1.155532E-07	1.574740E-11	1.986595E-06	1.234795E-10	1.034884E-14	1.098341E-18
5.400000E+01	1.919218E-06	8.095795E-10	2.538058E-13	1.362961E-16	4.075744E-10	1.506164E-06	4.061310E-06	1.421773E-03	7.824797E-04	2.105886E-07	4.426071E-11	3.216535E-06	3.025597E-10	3.932847E-14	6.454159E-18
5.600000E+01	3.319609E-06	1.975492E-09	1.013870E-12	8.311813E-16	1.017353E-09	2.197536E-06	5.536024E-06	1.608420E-03	6.862060E-04	3.739533E-07	1.205328E-10	5.147481E-06	7.287095E-10	1.455351E-13	3.662333E-17
5.800000E+01	5.622752E-06	4.701891E-09	3.871865E-12	4.815100E-15	2.448266E-09	3.152422E-06	7.309750E-06	1.786115E-03	5.933371E-04	6.469560E-07	3.177121E-10	8.138448E-06	1.722473E-09	5.233482E-13	2.001109E-16
6.000000E+01	9.320749E-06	1.091229E-08	1.412795E-11	2.643510E-14	5.685380E-09	4.454485E-06	9.354213E-06	1.948182E-03	5.068746E-04	1.090981E-06	8.104469E-10	1.270788E-05	3.990560E-09	1.825688E-12	1.050396E-15
6.200000E+01	1.511811E-05	2.469233E-08	4.926494E-11	1.373547E-13	1.276326E-08	6.214163E-06	1.161983E-05	2.089367E-03	4.289812E-04	1.794935E-06	2.001445E-09	1.959028E-05	9.050632E-09	6.168564E-12	5.285301E-15
6.400000E+01	2.399438E-05	5.447266E-08	1.642634E-10	6.750277E-13	2.776235E-08	8.578434E-06	1.404434E-05	2.206090E-03	3.607942E-04	2.884385E-06	4.787897E-09	2.980361E-05	2.007028E-08	2.015278E-11	2.543581E-14
6.600000E+01	3.726919E-05	1.171205E-07	5.239536E-10	3.136235E-12	5.863902E-08	1.174108E-05	1.656137E-05	2.296215E-03	3.024784E-04	4.531653E-06	1.109920E-08	4.472242E-05	4.345504E-08	6.353479E-11	1.167682E-13
6.800000E+01	5.665591E-05	2.452345E-07	1.598614E-09	1.376189E-11	1.204450E-07	1.594997E-05	1.910564E-05	2.358487E-03	2.534501E-04	6.964522E-06	2.492789E-08	6.614374E-05	9.170106E-08	1.928032E-10	5.096191E-13
7.000000E+01	8.427766E-05	4.993174E-07	4.660151E-09	5.691478E-11	2.406414E-07	2.150521E-05	2.161397E-05	2.391889E-03	2.126690E-04	1.046846E-05	5.417774E-08	9.632211E-05	1.881874E-07	5.613487E-10	2.105405E-12
7.200000E+01	1.226039E-04	9.862859E-07	1.294775E-08	2.210383E-10	4.670419E-07	2.873848E-05	2.402392E-05	2.395158E-03	1.789063E-04	1.537331E-05	1.136774E-07	1.379343E-04	3.745245E-07	1.561654E-09	8.188904E-12
7.400000E+01	1.742519E-04	1.883865E-06	3.415223E-08	8.017493E-10	8.778326E-07	3.796069E-05	2.627300E-05	2.366643E-03	1.509453E-04	2.201123E-05	2.294211E-07	1.939183E-04	7.203781E-07	4.130206E-09	2.978464E-11
7.600000E+01	2.415961E-04	3.465223E-06	8.506318E-08	2.696400E-09	1.590223E-06	4.936580E-05	2.830192E-05	2.304609E-03	1.277085E-04	3.063210E-05	4.430749E-07	2.671217E-04	1.333725E-06	1.032205E-08	1.004939E-10
7.800000E+01	3.261619E-04	6.108922E-06	1.987565E-07	8.334938E-09	2.759273E-06	6.289230E-05	3.006305E-05	2.208071E-03	1.083223E-04	4.127233E-05	8.136556E-07	3.597150E-04	2.365826E-06	2.420813E-08	3.116499E-10
8.000000E+01	4.278720E-04	1.026925E-05	4.325782E-07	2.345686E-08	4.553831E-06	7.807653E-05	3.153145E-05	2.078042E-03	9.213268E-05	5.360294E-05	1.410645E-06	4.723981E-04	4.000860E-06	5.288546E-08	8.795992E-10
8.200000E+01	5.443659E-04	1.638280E-05	8.710529E-07	5.956538E-08	7.100235E-06	9.397984E-05	3.271115E-05	1.918858E-03	7.867677E-05	6.683055E-05	2.292745E-06	6.035789E-04	6.419404E-06	1.068503E-07	2.237924E-09
8.400000E+01	6.707511E-04	2.471510E-05	1.614585E-06	1.355666E-07	1.040572E-05	1.092931E-04	3.362849E-05	1.738905E-03	6.761788E-05	7.975762E-05	3.474090E-06	7.488806E-04	9.734781E-06	1.985028E-07	5.093328E-09
8.600000E+01	8.001160E-04	3.520503E-05	2.749282E-06	2.757814E-07	1.430572E-05	1.226579E-04	3.431395E-05	1.549972E-03	5.866624E-05	9.106204E-05	4.895095E-06	9.013913E-04	1.392370E-05	3.380446E-07	1.032707E-08
8.800000E+01	9.248192E-04	4.740385E-05	4.308534E-06	5.027112E-07	1.848706E-05	1.330874E-04	3.478722E-05	1.365046E-03	5.152392E-05	9.970891E-05	6.423954E-06	1.052824E-03	1.879261E-05	5.280934E-07	1.867202E-08
9.000000E+01	1.038096E-03	6.057013E-05	6.250797E-06	8.275808E-07	2.259205E-05	1.402544E-04	3.506045E-05	1.195369E-03	4.587867E-05	1.052703E-04	7.898409E-06	1.195244E-03	2.401182E-05	7.604667E-07	3.030049E-08
9.200000E+01	1.135296E-03	7.388013E-05	8.471139E-06	1.245227E-06	2.634141E-05	1.444856E-04	3.515572E-05	1.048221E-03	4.143459E-05	1.079681E-04	9.184134E-06	1.322637E-03	2.920687E-05	1.017901E-06	4.462546E-08
9.400000E+01	1.214300E-03	8.663782E-05	1.083895E-05	1.737067E-06	2.960230E-05	1.465120E-04	3.511806E-05	9.263355E-04	3.794357E-05	1.084568E-04	1.021252E-05	1.431680E-03	3.405727E-05	1.279819E-06	6.048834E-08
9.600000E+01	1.275166E-03	9.838959E-05	1.323722E-05	2.279341E-06	3.238003E-05	1.471619E-04	3.501199E-05	8.288027E-04	3.521516E-05	1.075227E-04	1.098175E-05	1.521608E-03	3.835542E-05	1.528428E-06	7.658827E-08
9.800000E+01	1.319388E-03	1.089287E-04	1.558453E-05	2.850917E-06	3.476567E-05	1.471476E-04	3.490705E-05	7.525826E-04	3.310760E-05	1.058602E-04	1.153336E-05	1.593504E-03	4.201318E-05	1.752119E-06	9.186353E-08
