# temperature	SE	SE+SE
0.000000E+00	5.999638E-06	1.811275E-10
2.000000E+00	5.999678E-06	1.612139E-10
4.000000E+00	5.999712E-06	1.438388E-10
6.000000E+00	5.999743E-06	1.286457E-10
8.000000E+00	5.999769E-06	1.153321E-10
1.000000E+01	5.999793E-06	1.036409E-10
1.200000E+01	5.999813E-06	9.335332E-11
1.400000E+01	5.999831E-06	8.428238E-11
1.600000E+01	5.999847E-06	7.626824E-11
1.800000E+01	5.999862E-06	6.917389E-11
2.000000E+01	5.999874E-06	6.288162E-11
2.200000E+01	5.999885E-06	5.729018E-11
2.400000E+01	5.999895E-06	5.231223E-11
2.600000E+01	5.999904E-06	4.787233E-11
2.800000E+01	5.999912E-06	4.390519E-11
3.000000E+01	5.999919E-06	4.035418E-11
3.200000E+01	5.999926E-06	3.717011E-11
3.400000E+01	5.999931E-06	3.431017E-11
3.600000E+01	5.999937E-06	3.173704E-11
3.800000E+01	5.999941E-06	2.941813E-11
4.000000E+01	5.999945E-06	2.732492E-11
4.200000E+01	5.999949E-06	2.543242E-11
4.400000E+01	5.999953E-06	2.371870E-11
4.600000E+01	5.999956E-06	2.216448E-11
4.800000E+01	5.999959E-06	2.075277E-11
5.000000E+01	5.999961E-06	1.946860E-11
5.200000E+01	5.999963E-06	1.829874E-11
5.400000E+01	5.999966E-06	1.723148E-11
5.600000E+01	5.999967E-06	1.625645E-11
5.800000E+01	5.999969E-06	1.536445E-11
6.000000E+01	5.999971E-06	1.454730E-11
6.200000E+01	5.999972E-06	1.379772E-11
6.400000E+01	5.999974E-06	1.310923E-11
6.600000E+01	5.999975E-06	1.247602E-11
6.800000E+01	5.999976E-06	1.189294E-11
7.000000E+01	5.999977E-06	1.135535E-11
7.200000E+01	5.999978E-06	1.085909E-11
7.400000E+01	5.999979E-06	1.040046E-11
7.600000E+01	5.999980E-06	9.976093E-12
7.800000E+01	5.999981E-06	9.582992E-12
8.000000E+01	5.999982E-06	9.218444E-12
8.200000E+01	5.999982E-06	8.880004E-12
8.400000E+01	5.999983E-06	8.565464E-12
8.600000E+01	5.999983E-06	8.272829E-12
8.800000E+01	5.999984E-06	8.000294E-12
9.000000E+01	5.999985E-06	7.746220E-12
9.200000E+01	5.999985E-06	7.509124E-12
9.400000E+01	5.999985E-06	7.287656E-12
9.600000E+01	5.999986E-06	7.080590E-12
9.800000E+01	5.999986E-06	6.886809E-12
