Sequence	ΔH(kJ/mol)	ΔS(J/mol/K)
GCTAGC	-39.2838	-100.5969
CTAGC	-17.8538	-41.5236
TAGC	-13.6095	-30.7836
AGC	-14.2966	-33.2156
GC	-7.9161	-17.1286
