# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	6.576248E-13	2.893879E-20	2.000000E-05	1.053055E-12	1.705901E-12	1.858856E-21	6.440185E-16	8.068592E-07	9.596570E-06
2.000000E+00	1.090556E-12	6.700950E-20	2.000000E-05	1.592099E-12	2.503514E-12	4.073730E-21	1.154989E-15	1.050383E-06	9.474807E-06
4.000000E+00	1.690427E-12	1.357855E-19	2.000000E-05	2.247598E-12	3.932163E-12	1.000635E-20	2.195393E-15	1.359476E-06	9.320261E-06
6.000000E+00	2.701552E-12	2.929813E-19	1.999999E-05	3.266554E-12	6.000971E-12	2.267768E-20	4.009091E-15	1.748474E-06	9.125762E-06
8.000000E+00	4.343281E-12	6.406785E-19	1.999999E-05	4.765362E-12	9.131364E-12	4.990451E-20	7.207912E-15	2.233329E-06	8.883333E-06
1.000000E+01	7.020706E-12	1.417661E-18	1.999999E-05	6.967515E-12	1.387513E-11	1.069814E-19	1.276407E-14	2.830973E-06	8.584510E-06
1.200000E+01	1.133845E-11	3.131718E-18	1.999998E-05	1.013266E-11	2.120308E-11	2.268218E-19	2.240189E-14	3.558147E-06	8.220921E-06
1.400000E+01	1.821569E-11	6.839216E-18	1.999997E-05	1.456927E-11	3.274409E-11	4.811244E-19	3.913068E-14	4.429506E-06	7.785240E-06
1.600000E+01	2.952059E-11	1.516304E-17	1.999995E-05	2.096277E-11	5.040843E-11	9.958677E-19	6.706731E-14	5.454863E-06	7.272558E-06
1.800000E+01	4.798560E-11	3.368896E-17	1.999992E-05	2.994413E-11	7.781321E-11	2.041101E-18	1.133916E-13	6.635579E-06	6.682196E-06
2.000000E+01	7.824794E-11	7.490974E-17	1.999988E-05	4.236852E-11	1.204271E-10	4.154538E-18	1.889838E-13	7.960410E-06	6.019774E-06
2.200000E+01	1.279934E-10	1.664160E-16	1.999981E-05	5.922902E-11	1.868557E-10	8.425865E-18	3.102885E-13	9.401690E-06	5.299125E-06
2.400000E+01	2.098337E-10	3.681924E-16	1.999971E-05	8.154127E-11	2.908738E-10	1.710808E-17	5.019358E-13	1.091337E-05	4.543273E-06
2.600000E+01	3.447122E-10	8.100775E-16	1.999954E-05	1.103182E-10	4.542262E-10	3.488079E-17	7.995471E-13	1.243300E-05	3.783446E-06
2.800000E+01	5.668445E-10	1.767282E-15	1.999929E-05	1.463408E-10	7.120157E-10	7.171754E-17	1.254992E-12	1.388913E-05	3.055360E-06
3.000000E+01	9.322047E-10	3.815517E-15	1.999888E-05	1.901584E-10	1.120679E-09	1.491864E-16	1.943024E-12	1.521386E-05	2.392974E-06
3.200000E+01	1.531960E-09	8.141765E-15	1.999823E-05	2.421481E-10	1.771159E-09	3.147159E-16	2.972089E-12	1.635654E-05	1.821609E-06
3.400000E+01	2.512986E-09	1.714851E-14	1.999718E-05	3.025920E-10	2.811121E-09	6.747392E-16	4.503072E-12	1.729301E-05	1.353342E-06
3.600000E+01	4.112558E-09	3.566386E-14	1.999552E-05	3.721316E-10	4.477984E-09	1.470534E-15	6.773985E-12	1.802623E-05	9.866964E-07
3.800000E+01	6.711452E-09	7.330322E-14	1.999284E-05	4.519412E-10	7.153375E-09	3.255732E-15	1.014042E-11	1.857909E-05	7.102256E-07
4.000000E+01	1.091842E-08	1.491288E-13	1.998854E-05	5.439522E-10	1.144751E-08	7.311036E-15	1.513296E-11	1.898419E-05	5.076261E-07
4.200000E+01	1.770166E-08	3.008398E-13	1.998165E-05	6.510015E-10	1.833069E-08	1.661543E-14	2.254087E-11	1.927518E-05	3.620741E-07
4.400000E+01	2.859142E-08	6.029453E-13	1.997063E-05	7.769788E-10	2.933600E-08	3.811729E-14	3.353283E-11	1.948163E-05	2.587774E-07
4.600000E+01	4.598820E-08	1.202800E-12	1.995308E-05	9.270359E-10	4.686763E-08	8.802131E-14	4.982949E-11	1.962719E-05	1.859160E-07
4.800000E+01	7.362450E-08	2.392244E-12	1.992526E-05	1.107891E-09	7.466282E-08	2.040008E-13	7.394633E-11	1.972962E-05	1.345966E-07
5.000000E+01	1.172432E-07	4.750138E-12	1.988142E-05	1.328235E-09	1.184704E-07	4.730870E-13	1.095285E-10	1.980181E-05	9.837624E-08
5.200000E+01	1.855686E-07	9.425408E-12	1.981281E-05	1.599247E-09	1.870226E-07	1.094371E-12	1.617990E-10	1.985285E-05	7.269462E-08
5.400000E+01	2.916492E-07	1.869530E-11	1.970638E-05	1.935153E-09	2.933785E-07	2.517046E-12	2.381336E-10	1.988909E-05	5.436690E-08
5.600000E+01	4.546224E-07	3.705127E-11	1.954295E-05	2.353754E-09	4.566900E-07	5.735983E-12	3.487487E-10	1.991493E-05	4.118386E-08
5.800000E+01	7.018517E-07	7.325975E-11	1.929513E-05	2.876679E-09	7.043417E-07	1.290138E-11	5.074290E-10	1.993338E-05	3.161645E-08
6.000000E+01	1.071155E-06	1.441183E-10	1.892503E-05	3.528970E-09	1.074184E-06	2.851310E-11	7.320997E-10	1.994653E-05	2.460538E-08
6.200000E+01	1.612370E-06	2.808644E-10	1.838273E-05	4.337255E-09	1.616101E-06	6.159351E-11	1.044834E-09	1.995579E-05	1.941458E-08
6.400000E+01	2.386681E-06	5.389499E-10	1.760692E-05	5.325435E-09	2.391355E-06	1.292123E-10	1.470554E-09	1.996214E-05	1.553019E-08
6.600000E+01	3.460986E-06	1.010026E-09	1.653049E-05	6.506458E-09	3.466957E-06	2.611479E-10	2.033283E-09	1.996628E-05	1.259143E-08
6.800000E+01	4.893521E-06	1.829507E-09	1.509495E-05	7.869111E-09	4.901294E-06	5.035220E-10	2.748597E-09	1.996870E-05	1.034332E-08
7.000000E+01	6.707544E-06	3.162852E-09	1.327677E-05	9.360795E-09	6.717789E-06	9.153589E-10	3.611624E-09	1.996982E-05	8.604435E-09
7.200000E+01	8.855431E-06	5.145335E-09	1.112341E-05	1.087264E-08	8.868915E-06	1.548376E-09	4.582868E-09	1.997006E-05	7.244641E-09
7.400000E+01	1.118948E-05	7.768092E-09	8.782744E-06	1.224191E-08	1.120686E-05	2.405975E-09	5.580190E-09	1.996984E-05	6.169879E-09
7.600000E+01	1.347276E-05	1.077617E-08	6.492398E-06	1.329044E-08	1.349430E-05	3.403681E-09	6.491046E-09	1.996960E-05	5.311555E-09
7.800000E+01	1.545562E-05	1.371738E-08	4.503045E-06	1.389741E-08	1.548098E-05	4.381900E-09	7.211996E-09	1.996965E-05	4.619174E-09
8.000000E+01	1.698329E-05	1.617909E-08	2.970297E-06	1.405913E-08	1.701163E-05	5.188346E-09	7.694441E-09	1.997014E-05	4.055202E-09
8.200000E+01	1.804521E-05	1.800240E-08	1.904904E-06	1.387838E-08	1.807562E-05	5.757225E-09	7.957236E-09	1.997098E-05	3.591502E-09
8.400000E+01	1.873129E-05	1.927413E-08	1.216670E-06	1.349548E-08	1.876305E-05	6.110938E-09	8.058485E-09	1.997203E-05	3.206830E-09
8.600000E+01	1.915660E-05	2.018066E-08	7.900148E-07	1.302787E-08	1.918931E-05	6.310250E-09	8.059559E-09	1.997314E-05	2.885027E-09
8.800000E+01	1.941623E-05	2.089439E-08	5.294355E-07	1.255054E-08	1.944973E-05	6.413616E-09	8.006924E-09	1.997422E-05	2.613707E-09
9.000000E+01	1.957502E-05	2.153712E-08	3.698051E-07	1.210316E-08	1.960934E-05	6.463053E-09	7.930293E-09	1.997520E-05	2.383287E-09
9.200000E+01	1.967326E-05	2.218513E-08	2.706657E-07	1.170319E-08	1.970852E-05	6.485024E-09	7.846993E-09	1.997608E-05	2.186287E-09
9.400000E+01	1.973497E-05	2.288381E-08	2.079068E-07	1.135607E-08	1.977134E-05	6.495164E-09	7.766593E-09	1.997684E-05	2.016816E-09
9.600000E+01	1.977427E-05	2.366010E-08	1.673437E-07	1.106135E-08	1.981196E-05	6.502434E-09	7.694156E-09	1.997750E-05	1.870196E-09
9.800000E+01	1.979952E-05	2.453051E-08	1.406038E-07	1.081605E-08	1.983874E-05	6.511892E-09	7.632225E-09	1.997807E-05	1.742681E-09
