# temperature	SE	SE+SE
0.000000E+00	5.985874E-06	7.062998E-09
2.000000E+00	5.988531E-06	5.734546E-09
4.000000E+00	5.990652E-06	4.673919E-09
6.000000E+00	5.992352E-06	3.824122E-09
8.000000E+00	5.993718E-06	3.140832E-09
1.000000E+01	5.994821E-06	2.589477E-09
1.200000E+01	5.995714E-06	2.143013E-09
1.400000E+01	5.996440E-06	1.780220E-09
1.600000E+01	5.997031E-06	1.484392E-09
1.800000E+01	5.997515E-06	1.242339E-09
2.000000E+01	5.997913E-06	1.043610E-09
2.200000E+01	5.998240E-06	8.799008E-10
2.400000E+01	5.998511E-06	7.445904E-10
2.600000E+01	5.998735E-06	6.323837E-10
2.800000E+01	5.998922E-06	5.390326E-10
3.000000E+01	5.999078E-06	4.611184E-10
3.200000E+01	5.999208E-06	3.958815E-10
3.400000E+01	5.999318E-06	3.410873E-10
3.600000E+01	5.999410E-06	2.949213E-10
3.800000E+01	5.999488E-06	2.559053E-10
4.000000E+01	5.999554E-06	2.228320E-10
4.200000E+01	5.999611E-06	1.947121E-10
4.400000E+01	5.999659E-06	1.707330E-10
4.600000E+01	5.999700E-06	1.502252E-10
4.800000E+01	5.999735E-06	1.326353E-10
5.000000E+01	5.999765E-06	1.175052E-10
5.200000E+01	5.999791E-06	1.044542E-10
5.400000E+01	5.999814E-06	9.316511E-11
5.600000E+01	5.999833E-06	8.337333E-11
5.800000E+01	5.999850E-06	7.485716E-11
6.000000E+01	5.999865E-06	6.743056E-11
6.200000E+01	5.999878E-06	6.093699E-11
6.400000E+01	5.999890E-06	5.524441E-11
6.600000E+01	5.999900E-06	5.024116E-11
6.800000E+01	5.999908E-06	4.583259E-11
7.000000E+01	5.999916E-06	4.193829E-11
7.200000E+01	5.999923E-06	3.848979E-11
7.400000E+01	5.999929E-06	3.542862E-11
7.600000E+01	5.999935E-06	3.270477E-11
7.800000E+01	5.999939E-06	3.027537E-11
8.000000E+01	5.999944E-06	2.810355E-11
8.200000E+01	5.999948E-06	2.615757E-11
8.400000E+01	5.999951E-06	2.441005E-11
8.600000E+01	5.999954E-06	2.283728E-11
8.800000E+01	5.999957E-06	2.141873E-11
9.000000E+01	5.999960E-06	2.013656E-11
9.200000E+01	5.999962E-06	1.897524E-11
9.400000E+01	5.999964E-06	1.792123E-11
9.600000E+01	5.999966E-06	1.696270E-11
9.800000E+01	5.999968E-06	1.608928E-11
