# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
4.800000E+01	1.717058E-10	3.521356E-17	6.273981E-24	1.894361E-30	1.779504E-17	1.356991E-10	5.147173E-07	4.213677E-04	1.888012E-04	1.370736E-11	2.896273E-18	2.937048E-10	3.010325E-17	5.222369E-24	1.175271E-30
5.000000E+01	5.026553E-10	2.460437E-16	1.170009E-22	8.876078E-29	1.205355E-16	3.278080E-10	7.166516E-07	4.755754E-04	1.614951E-04	4.121545E-11	2.192596E-17	7.975131E-10	2.038319E-16	8.940362E-23	5.092451E-29
5.200000E+01	1.440734E-09	1.677876E-15	2.100610E-21	3.991967E-27	7.940212E-16	7.790365E-10	9.644470E-07	5.259473E-04	1.360603E-04	1.194185E-10	1.567334E-16	2.102729E-09	1.311973E-15	1.422658E-21	2.005107E-27
5.400000E+01	3.988294E-09	1.086754E-14	3.483904E-20	1.628938E-25	4.959879E-15	1.802622E-09	1.257638E-06	5.709055E-04	1.132856E-04	3.382865E-10	1.086917E-15	5.452072E-09	8.233010E-15	2.185279E-20	7.544227E-26
5.600000E+01	1.069748E-08	6.726739E-14	5.386074E-19	6.095917E-24	2.963794E-14	4.089555E-09	1.594373E-06	6.095404E-04	9.362554E-05	9.353818E-10	7.272165E-15	1.385174E-08	4.999523E-14	3.203587E-19	2.671453E-24
5.800000E+01	2.783078E-08	3.984932E-13	7.779214E-18	2.095753E-22	1.701773E-13	9.140517E-09	1.972636E-06	6.416027E-04	7.720169E-05	2.526712E-09	4.691448E-14	3.444666E-08	2.930542E-13	4.464731E-18	8.856217E-23
6.000000E+01	7.027074E-08	2.259980E-12	1.050360E-16	6.617454E-21	9.420042E-13	2.020912E-08	2.391301E-06	6.673562E-04	6.387191E-05	6.675672E-09	2.919035E-13	8.380724E-08	1.655792E-12	5.902112E-17	2.740227E-21
6.200000E+01	1.722875E-07	1.226997E-11	1.326218E-15	1.918012E-19	5.040029E-12	4.434357E-08	2.850721E-06	6.873599E-04	5.333021E-05	1.726322E-08	1.751283E-12	1.993811E-07	9.004142E-12	7.382908E-16	7.887469E-20
6.400000E+01	4.103453E-07	6.375390E-11	1.565863E-14	5.098757E-18	2.610876E-11	9.677576E-08	3.352846E-06	7.022449E-04	4.520079E-05	4.369693E-08	1.011981E-11	4.634896E-07	4.703348E-11	8.712155E-15	2.103280E-18
6.600000E+01	9.495406E-07	3.167252E-10	1.727152E-13	1.240783E-16	1.309892E-10	2.102019E-07	3.900905E-06	7.125091E-04	3.910492E-05	1.081945E-07	5.621564E-11	1.051851E-06	2.354451E-10	9.663478E-14	5.170609E-17
