# concentration (uM) 	 Tm (C)
1.000000E+00	1.225608E+01
2.000000E+00	1.453177E+01
5.000000E+00	1.782231E+01
1.000000E+01	2.050292E+01
2.000000E+01	2.332523E+01
5.000000E+01	2.727043E+01
1.000000E+02	3.041482E+01
2.000000E+02	3.369466E+01
5.000000E+02	3.827438E+01
6.000000E+02	3.921899E+01
8.000000E+02	4.074355E+01
1.000000E+03	4.195134E+01
1.500000E+03	4.420636E+01
