# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	2.095973E-13	2.939648E-21	9.999997E-07	6.987939E-14	2.676186E-13	4.574785E-23	2.103544E-17	1.679920E-07	4.160040E-07
2.000000E+00	3.262606E-13	5.997488E-21	9.999996E-07	9.700991E-14	4.184112E-13	1.137887E-22	3.931523E-17	2.139329E-07	3.930335E-07
4.000000E+00	5.109408E-13	1.240515E-20	9.999994E-07	1.345142E-13	6.504697E-13	2.738210E-22	7.190901E-17	2.691825E-07	3.654087E-07
6.000000E+00	8.113116E-13	2.642340E-20	9.999990E-07	1.873922E-13	9.991182E-13	6.286217E-22	1.275054E-16	3.340001E-07	3.329999E-07
8.000000E+00	1.288569E-12	5.639231E-20	9.999985E-07	2.581268E-13	1.538918E-12	1.417422E-21	2.217872E-16	4.077557E-07	2.961220E-07
1.000000E+01	2.038148E-12	1.194763E-19	9.999976E-07	3.490949E-13	2.389745E-12	3.173491E-21	3.794149E-16	4.885922E-07	2.557037E-07
1.200000E+01	3.243023E-12	2.561978E-19	9.999963E-07	4.669115E-13	3.706563E-12	6.931538E-21	6.309167E-16	5.732430E-07	2.133783E-07
1.400000E+01	5.163694E-12	5.495867E-19	9.999942E-07	6.127857E-13	5.775455E-12	1.496800E-20	1.024063E-15	6.572207E-07	1.713894E-07
1.600000E+01	8.241194E-12	1.181725E-18	9.999910E-07	7.891062E-13	9.028285E-12	3.194521E-20	1.619700E-15	7.355388E-07	1.322302E-07
1.800000E+01	1.317646E-11	2.540173E-18	9.999858E-07	9.961002E-13	1.416873E-11	6.767367E-20	2.501279E-15	8.038635E-07	9.806775E-08
2.000000E+01	2.110263E-11	5.448356E-18	9.999777E-07	1.233876E-12	2.232665E-11	1.427978E-19	3.783456E-15	8.596076E-07	7.019558E-08
2.200000E+01	3.384043E-11	1.163300E-17	9.999647E-07	1.503004E-12	3.533596E-11	3.013251E-19	5.631882E-15	9.023672E-07	4.881564E-08
2.400000E+01	5.435155E-11	2.470291E-17	9.999438E-07	1.806657E-12	5.614613E-11	6.374291E-19	8.287529E-15	9.335134E-07	3.324237E-08
2.600000E+01	8.741560E-11	5.209440E-17	9.999104E-07	2.149581E-12	8.955317E-11	1.355826E-18	1.211231E-14	9.553227E-07	2.233758E-08
2.800000E+01	1.407939E-10	1.090299E-16	9.998567E-07	2.539003E-12	1.433154E-10	2.905576E-18	1.764502E-14	9.701815E-07	1.490796E-08
3.000000E+01	2.270554E-10	2.263574E-16	9.997700E-07	2.983883E-12	2.300145E-10	6.284588E-18	2.569199E-14	9.801333E-07	9.931832E-09
3.200000E+01	3.665475E-10	4.661056E-16	9.996300E-07	3.495219E-12	3.700176E-10	1.373563E-17	3.745735E-14	9.867376E-07	6.629424E-09
3.400000E+01	5.921716E-10	9.522289E-16	9.994037E-07	4.086618E-12	5.962030E-10	3.035046E-17	5.473595E-14	9.911052E-07	4.445348E-09
3.600000E+01	9.568823E-10	1.930730E-15	9.990383E-07	4.774439E-12	9.615803E-10	6.780802E-17	8.020963E-14	9.939949E-07	3.000144E-09
3.800000E+01	1.545688E-09	3.888066E-15	9.984487E-07	5.579357E-12	1.551162E-09	1.530879E-16	1.178688E-13	9.959128E-07	2.040752E-09
4.000000E+01	2.494293E-09	7.782816E-15	9.974992E-07	6.527325E-12	2.500661E-09	3.488724E-16	1.736419E-13	9.971921E-07	1.400611E-09
4.200000E+01	4.017944E-09	1.549941E-14	9.959744E-07	7.651137E-12	4.025371E-09	8.012456E-16	2.563019E-13	9.980506E-07	9.707464E-10
4.400000E+01	6.455394E-09	3.073632E-14	9.935356E-07	8.992401E-12	6.464062E-09	1.850680E-15	3.787515E-13	9.986307E-07	6.799630E-10
4.600000E+01	1.033435E-08	6.073896E-14	9.896549E-07	1.060356E-11	1.034451E-08	4.288068E-15	5.598115E-13	9.990255E-07	4.816745E-10
4.800000E+01	1.646629E-08	1.196609E-13	9.835209E-07	1.255005E-11	1.647823E-08	9.936746E-15	8.266052E-13	9.992960E-07	3.452906E-10
5.000000E+01	2.607752E-08	2.349977E-13	9.739071E-07	1.491160E-11	2.609164E-08	2.294689E-14	1.217556E-12	9.994826E-07	2.506288E-10
5.200000E+01	4.097767E-08	4.596062E-13	9.590036E-07	1.778145E-11	4.099448E-08	5.258076E-14	1.785729E-12	9.996118E-07	1.842975E-10
5.400000E+01	6.374755E-08	8.931778E-13	9.362294E-07	2.126050E-11	6.376775E-08	1.189150E-13	2.601649E-12	9.997014E-07	1.373552E-10
5.600000E+01	9.788380E-08	1.717604E-12	9.020873E-07	2.544131E-11	9.790840E-08	2.636360E-13	3.753440E-12	9.997632E-07	1.037920E-10
5.800000E+01	1.477477E-07	3.246504E-12	8.522155E-07	3.037393E-11	1.477781E-07	5.679227E-13	5.339938E-12	9.998052E-07	7.953932E-11
6.000000E+01	2.180189E-07	5.970385E-12	7.819332E-07	3.600390E-11	2.180570E-07	1.174972E-12	7.449411E-12	9.998329E-07	6.182304E-11
6.200000E+01	3.122037E-07	1.053036E-11	6.877332E-07	4.207792E-11	3.122521E-07	2.299368E-12	1.011464E-11	9.998503E-07	4.873717E-11
