Display Setting,Diameter

Item,Value,Unit
Y32SE6-400uM-NP500nm-0.1pct-cooling2_7462.nsz,,
Measurement Results,,
Date,2026”N1ŒŽ22“ú 17:57:56,
Measurement Type,Particle Size,
Sample Name,Y32SE6-400uM-NP500nm-0.1pct-cooling2,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,74.9,°C
Dispersion Medium Viscosity,0.382,mPa·s
Transmission Intensity before Meas.,19216,
Transmission Intensity after Meas.,20215,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,3709,kCPS
ACF Intercept,0.997,
Calculation Results,,
Cumulant Operations,,
Z-Average,6591.8,nm
PI,1.991,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.998194,0.99819
2,0.99793,0.997955
3,0.997367,0.997635
4,0.9967,0.997197
5,0.995744,0.996618
6,0.996928,0.995888
7,0.997502,0.994982
8,0.992107,0.993875
9,0.993158,0.99256
10,0.991427,0.991045
11,0.989083,0.989316
12,0.986873,0.987295
13,0.984255,0.984805
14,0.980948,0.981577
15,0.976615,0.977281
16,0.970957,0.971546
17,0.963686,0.963957
18,0.95434,0.954061
19,0.942587,0.94141
20,0.927738,0.925642
21,0.908912,0.906589
22,0.885866,0.884357
23,0.859518,0.859272
24,0.829963,0.831531
25,0.79532,0.800568
26,0.756308,0.764491
27,0.713658,0.720211
28,0.666807,0.664418
29,0.619702,0.594712
30,0.554169,0
31,0.51106,0
32,0.474954,0
33,0.44421,0
34,0.375783,0
35,0.241348,0
36,0.01,0


