Display Setting,Diameter

Item,Value,Unit
20230116-gelyse6-500uM-pscooh-500nm-0.1pct_1564.nsz,,
Measurement Results,,
Date,2023”N1ŒŽ16“ú 16:45:22,
Measurement Type,Particle Size,
Sample Name,20230116-gelyse6-500uM-pscooh-500nm-0.1pct,
Scattering Angle,90,
Temperature of the Holder,57.0,°C
Dispersion Medium Viscosity,0.493,mPa·s
Transmission Intensity before Meas.,7203,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,906,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),1862.5,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,1862.5,nm
Peak1 S. D.,634.9,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,634.9,nm
Peak1 Mode,1636.5,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,1636.5,nm
Cumulant Operations,,
Z-Average,1703.5,nm
PI,0.200,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation,Fitting Function
1,0.984544,0.984311
1.4,0.983424,0.983531
1.9,0.982987,0.982874
2.6,0.981453,0.982029
3.6,0.980567,0.980849
5,0.979781,0.979235
6.9,0.977346,0.977111
9.5,0.97454,0.974319
13.1,0.970523,0.970652
18.1,0.965672,0.965895
25,0.959755,0.959863
34.5,0.952199,0.952346
47.6,0.943136,0.94305
65.7,0.931671,0.931508
90.7,0.916968,0.916958
125.2,0.898188,0.898205
172.8,0.873599,0.873614
238.5,0.841137,0.841249
329.2,0.799255,0.799065
454.4,0.745334,0.745093
627.2,0.67766,0.677754
865.7,0.596081,0.596408
1194.9,0.501527,0.502119
1649.3,0.398365,0.398502
2276.5,0.29376,0.292342
3142.2,0.194605,0.193342
4337.1,0.109992,0.112041
5986.4,0.0536713,0.0555818
8262.9,0.0256001,0.0237276
11405.1,0.0102385,0.00941876
15742.2,0.00451386,0
21728.6,0.00580153,0
29991.5,0.0001,0
41396.6,0.000380022,0
57138.8,0.0001,0
78867.4,0.0001,0


