Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP500nm-01pct-cooling8_6071.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ16“ú 12:02:29,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP500nm-01pct-cooling8,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,76.9,°C
Dispersion Medium Viscosity,0.372,mPa·s
Transmission Intensity before Meas.,15074,
Transmission Intensity after Meas.,15049,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,245,kCPS
ACF Intercept,0.380,
Calculation Results,,
Cumulant Operations,,
Z-Average,---,nm
PI,---,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.612583,0.612583
2,0.611003,0.611003
3,0.604403,0
4,0.598425,0
5,0.591989,0
6,0.840963,0
7,0.9995,0
8,0.56878,0
9,0.861152,0
10,0.845545,0
11,0.805343,0
12,0.802002,0
13,0.795548,0
14,0.806278,0
15,0.80069,0
16,0.793893,0
17,0.789628,0
18,0.782636,0
19,0.773914,0
20,0.762062,0
21,0.747047,0
22,0.729568,0
23,0.709865,0
24,0.684361,0
25,0.655156,0
26,0.623723,0
27,0.582396,0
28,0.532494,0
29,0.476581,0
30,0.38873,0
31,0.295954,0
32,0.180984,0
33,0.215096,0
34,0.315319,0
35,0.199506,0
36,0.01,0


