Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.0987;0.639;0.1;105;577;293;0.508;0.0171;20;2.61;
2;0.0988;0.701;0.145;145;656;271;0.414;0.0171;20;2.87;
3;0.0989;0.76;0.211;165;727;247;0.34;0.0171;20;3.11;
4;0.0993;0.798;0.308;179;773;219;0.283;0.0172;20;3.26;
5;0.1;0.843;0.447;191;823;176;0.214;0.0173;20;3.45;
6;0.0986;0.863;0.65;200;861;157;0.183;0.017;20;3.53;
7;0.0997;0.904;0.946;209;897;132;0.147;0.0172;20;3.7;
8;0.0986;0.911;1.38;214;917;110;0.12;0.017;20;3.73;
9;0.1;0.948;2;220;941;89.7;0.0954;0.0173;20;3.88;
10;0.1;0.953;2.91;228;950;72.3;0.0761;0.0173;20;3.9;
11;0.0998;0.967;4.23;237;966;66.2;0.0685;0.0172;20;3.95;
12;0.1;0.983;6.15;245;978;48.6;0.0497;0.0173;20;4.02;
13;0.101;0.997;8.94;255;990;42.7;0.0431;0.0174;20;4.08;
14;0.0997;1.01;13;266;1010;38.8;0.0385;0.0172;20;4.11;
15;0.1;1.04;18.9;275;1040;41.4;0.0398;0.0173;20;4.27;
16;0.1;1.13;27.5;283;1120;71.1;0.0633;0.0173;20;4.61;
17;0.1;1.28;40;289;1280;37.6;0.0293;0.0173;20;5.25;
