Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
9.8E-2	******	******	******	******	5	-1.6E+3	-1.33E-1	-3.94E+2
1.99E-1	******	******	******	******	5	-9.86E+2	4.81E-4	-2.42E+2
2.97E-1	******	******	******	******	5	-7.58E+2	2.09E-4	-1.86E+2
3.98E-1	******	******	******	******	5	-6.21E+2	9.62E-5	-1.53E+2
5E-1	******	******	******	******	5	-5.22E+2	-2.05E-5	-1.28E+2
5.98E-1	******	******	******	******	5	-4.45E+2	4.48E-5	-1.09E+2
7.03E-1	******	******	******	******	5	-3.83E+2	5.54E-5	-9.4E+1
8.01E-1	******	******	******	******	5	-3.33E+2	7.91E-5	-8.18E+1
9.02E-1	******	******	******	******	5	-2.9E+2	-1.44E-5	-7.14E+1
1E0	******	******	******	******	5	-2.55E+2	-1.23E-5	-6.27E+1
1.1E0	******	******	******	******	5	-2.25E+2	-1.33E-6	-5.54E+1
1.2E0	******	******	******	******	5	-2E+2	-5.8E-5	-4.9E+1
1.3E0	******	******	******	******	5	-1.77E+2	-1.2E-4	-4.36E+1
1.4E0	******	******	******	******	5	-1.59E+2	-3.19E-5	-3.9E+1
1.5E0	******	******	******	******	5	-1.42E+2	-6.51E-5	-3.48E+1
1.6E0	******	******	******	******	5	-1.27E+2	-8.78E-5	-3.12E+1
1.7E0	******	******	******	******	5	-1.14E+2	-2.6E-5	-2.81E+1
1.8E0	******	******	******	******	5	-1.03E+2	-1.21E-5	-2.54E+1
1.9E0	******	******	******	******	5	-9.31E+1	-5.47E-5	-2.29E+1
2E0	******	******	******	******	5	-8.44E+1	-6.68E-5	-2.07E+1
2.1E0	******	******	******	******	5	-7.67E+1	-1.54E-4	-1.88E+1
2.2E0	******	******	******	******	5	-6.96E+1	-1.02E-3	-1.71E+1
2.3E0	******	******	******	******	5	-6.14E+1	3.28E-4	-1.51E+1
2.4E0	******	******	******	******	5	-5.77E+1	-2.06E-3	-1.42E+1
2.5E0	******	******	******	******	5	-5.25E+1	-2.2E-3	-1.29E+1
2.6E0	******	******	******	******	5	-4.81E+1	-2.15E-3	-1.18E+1
2.7E0	******	******	******	******	5	-4.4E+1	-2.12E-3	-1.08E+1
2.8E0	******	******	******	******	5	-4.02E+1	-2.2E-3	-9.88E0
2.9E0	******	******	******	******	5	-3.69E+1	-2.28E-3	-9.06E0
3E0	******	******	******	******	5	-3.4E+1	-2.11E-3	-8.35E0
3.1E0	******	******	******	******	5	-3.11E+1	-2.22E-3	-7.64E0
3.2E0	******	******	******	******	5	-2.86E+1	-2.19E-3	-7.04E0
3.3E0	******	******	******	******	5	-2.65E+1	-2.11E-3	-6.52E0
3.4E0	******	******	******	******	5	-2.44E+1	-2.26E-3	-5.99E0
3.5E0	******	******	******	******	5	-2.25E+1	-2.19E-3	-5.52E0
3.6E0	******	******	******	******	5	-2.08E+1	-2.34E-3	-5.11E0
3.7E0	******	******	******	******	5	-1.92E+1	-2.29E-3	-4.73E0
3.8E0	******	******	******	******	5	-1.77E+1	-2.5E-3	-4.34E0
3.9E0	******	******	******	******	5	-1.64E+1	-2.23E-3	-4.03E0
4E0	******	******	******	******	5	-1.52E+1	-2.07E-3	-3.74E0
4.1E0	******	******	******	******	5	-1.41E+1	-1.88E-3	-3.46E0
4.2E0	******	******	******	******	5	-1.3E+1	-1.79E-3	-3.19E0
4.3E0	******	******	******	******	5	-1.21E+1	-1.61E-3	-2.98E0
4.4E0	******	******	******	******	5	-1.12E+1	-1.45E-3	-2.76E0
4.5E0	******	******	******	******	5	-1.04E+1	-1.37E-3	-2.55E0
4.6E0	******	******	******	******	5	-9.78E0	-1.11E-3	-2.4E0
4.7E0	******	******	******	******	5	-9.09E0	-1.02E-3	-2.23E0
4.8E0	******	******	******	******	5	-8.46E0	-1.02E-3	-2.08E0
4.9E0	******	******	******	******	5	-7.9E0	-8.57E-4	-1.94E0
5E0	******	******	******	******	5	-7.48E0	-7.06E-4	-1.84E0
5.1E0	******	******	******	******	5	-6.9E0	-6.8E-4	-1.7E0
5.2E0	******	******	******	******	5	-6.43E0	-7.88E-4	-1.58E0
5.3E0	******	******	******	******	5	-6.1E0	-6.27E-4	-1.5E0
5.4E0	******	******	******	******	5	-5.63E0	-6.35E-4	-1.38E0
5.5E0	******	******	******	******	5	-5.23E0	-6.4E-4	-1.28E0
5.6E0	******	******	******	******	5	-4.9E0	-7.36E-4	-1.21E0
5.7E0	******	******	******	******	5	-4.59E0	-6.06E-4	-1.13E0
5.8E0	******	******	******	******	5	-4.25E0	-5.5E-4	-1.05E0
5.9E0	******	******	******	******	5	-4.03E0	-5.47E-4	-9.89E-1
6E0	******	******	******	******	5	-3.78E0	-4.68E-4	-9.28E-1
6.1E0	******	******	******	******	5	-3.53E0	-4.18E-4	-8.67E-1
6.2E0	******	******	******	******	5	-3.34E0	-3.44E-4	-8.21E-1
6.3E0	******	******	******	******	5	-3.23E0	-1.94E-4	-7.94E-1
6.4E0	******	******	******	******	5	-2.95E0	-2.19E-4	-7.26E-1
6.5E0	******	******	******	******	5	-2.85E0	-1.64E-4	-7E-1
6.6E0	******	******	******	******	5	-2.72E0	-2.12E-4	-6.68E-1
6.7E0	******	******	******	******	5	-2.52E0	-1.94E-4	-6.18E-1
6.8E0	******	******	******	******	5	-2.38E0	-1.89E-4	-5.84E-1
6.9E0	******	******	******	******	5	-2.31E0	-1.53E-4	-5.67E-1
7E0	******	******	******	******	5	-2.08E0	-2.85E-4	-5.11E-1
7.1E0	******	******	******	******	5	-1.94E0	-3.34E-4	-4.77E-1
7.2E0	******	******	******	******	5	-1.88E0	-1.95E-4	-4.63E-1
7.3E0	******	******	******	******	5	-1.73E0	-3.3E-4	-4.25E-1
7.4E0	******	******	******	******	5	-1.59E0	-2.98E-4	-3.9E-1
7.5E0	******	******	******	******	5	-1.54E0	-2.48E-4	-3.79E-1
7.6E0	******	******	******	******	5	-1.51E0	-9.17E-5	-3.71E-1
7.7E0	******	******	******	******	5	-1.33E0	-1.78E-4	-3.27E-1
7.8E0	******	******	******	******	5	-1.36E0	-9.38E-5	-3.33E-1
7.9E0	******	******	******	******	5	-1.32E0	3.08E-5	-3.25E-1
8E0	******	******	******	******	5	-1.21E0	-4.1E-5	-2.98E-1
8.1E0	******	******	******	******	5	-1.17E0	1.8E-5	-2.87E-1
8.2E0	******	******	******	******	5	-1.19E0	4.82E-5	-2.93E-1
8.3E0	******	******	******	******	5	-1.09E0	3.92E-6	-2.68E-1
8.4E0	******	******	******	******	5	-9.62E-1	-1.75E-4	-2.36E-1
8.5E0	******	******	******	******	5	-1.03E0	-9.96E-5	-2.52E-1
8.6E0	******	******	******	******	5	-9.14E-1	-2.78E-5	-2.25E-1
8.7E0	******	******	******	******	5	-7.82E-1	-2.63E-4	-1.92E-1
8.8E0	******	******	******	******	5	-8.4E-1	-8.93E-5	-2.06E-1
8.9E0	******	******	******	******	5	-7.56E-1	-1.79E-4	-1.86E-1
9E0	******	******	******	******	5	-6.86E-1	-1.9E-4	-1.69E-1
9.1E0	******	******	******	******	5	-6.49E-1	-1.66E-4	-1.6E-1
9.2E0	******	******	******	******	5	-7.1E-1	-1.13E-5	-1.74E-1
9.3E0	******	******	******	******	5	-5.92E-1	-4.35E-5	-1.45E-1
9.4E0	******	******	******	******	5	-5.84E-1	-8.47E-5	-1.43E-1
9.5E0	******	******	******	******	5	-6.51E-1	7E-5	-1.6E-1
9.6E0	******	******	******	******	5	-5.72E-1	4.18E-5	-1.41E-1
9.7E0	******	******	******	******	5	-5.33E-1	4.16E-5	-1.31E-1
9.8E0	******	******	******	******	5	-5.23E-1	-6.85E-5	-1.29E-1
9.9E0	******	******	******	******	5	-6.44E-1	1.6E-4	-1.58E-1
1E+1	******	******	******	******	5	-4.9E-1	5.37E-6	-1.2E-1
1.01E+1	******	******	******	******	5	-4.63E-1	-9.37E-5	-1.14E-1
1.02E+1	******	******	******	******	5	-5.22E-1	7.07E-6	-1.28E-1
1.03E+1	******	******	******	******	5	-4.66E-1	-1.71E-5	-1.14E-1
1.04E+1	******	******	******	******	5	-3.88E-1	-1.17E-4	-9.53E-2
1.05E+1	******	******	******	******	5	-4.33E-1	-9.41E-5	-1.06E-1
1.06E+1	******	******	******	******	5	-3.97E-1	-7.83E-5	-9.75E-2
1.07E+1	******	******	******	******	5	-2.74E-1	-2.19E-4	-6.73E-2
1.08E+1	******	******	******	******	5	-3.03E-1	-1.5E-4	-7.44E-2
1.09E+1	******	******	******	******	5	-3.34E-1	-7.3E-5	-8.2E-2
1.1E+1	******	******	******	******	5	-3.08E-1	2.16E-6	-7.57E-2
1.11E+1	******	******	******	******	5	-2.62E-1	-8.1E-5	-6.43E-2
1.12E+1	******	******	******	******	5	-3.5E-1	6.53E-5	-8.6E-2
1.13E+1	******	******	******	******	5	-3.02E-1	7.08E-5	-7.43E-2
1.14E+1	******	******	******	******	5	-2.37E-1	-4.35E-6	-5.83E-2
1.15E+1	******	******	******	******	5	-3.63E-1	7.44E-5	-8.93E-2
1.16E+1	******	******	******	******	5	-3.16E-1	1.01E-4	-7.76E-2
1.17E+1	******	******	******	******	5	-2.51E-1	1.73E-5	-6.16E-2
1.18E+1	******	******	******	******	5	-2.91E-1	1.15E-5	-7.16E-2
1.19E+1	******	******	******	******	5	-2.74E-1	-6.47E-5	-6.73E-2
1.2E+1	******	******	******	******	5	-1.99E-1	-9.9E-5	-4.89E-2
1.21E+1	******	******	******	******	5	-1.87E-1	-1.45E-4	-4.59E-2
1.22E+1	******	******	******	******	5	-2.38E-1	-7.84E-5	-5.85E-2
1.23E+1	******	******	******	******	5	-1.5E-1	-1.22E-4	-3.69E-2
1.24E+1	******	******	******	******	5	-1.31E-1	-1.07E-4	-3.23E-2
1.25E+1	******	******	******	******	5	-1.57E-1	-1.04E-4	-3.86E-2
1.26E+1	******	******	******	******	5	-1.78E-1	-4.04E-5	-4.38E-2
1.27E+1	******	******	******	******	5	-1.3E-1	-3.24E-5	-3.19E-2
1.28E+1	******	******	******	******	5	-1.97E-1	6.08E-5	-4.84E-2
1.29E+1	******	******	******	******	5	-1.93E-1	3.18E-5	-4.73E-2
1.3E+1	******	******	******	******	5	-1.36E-1	3.58E-5	-3.33E-2
1.31E+1	******	******	******	******	5	-2.09E-1	5.32E-5	-5.14E-2
1.32E+1	******	******	******	******	5	-2.46E-1	1.71E-4	-6.04E-2
1.33E+1	******	******	******	******	5	-1.68E-1	6.21E-5	-4.12E-2
1.34E+1	******	******	******	******	5	-1.8E-1	-2.62E-6	-4.43E-2
1.35E+1	******	******	******	******	5	-2.06E-1	2.38E-5	-5.05E-2
1.36E+1	******	******	******	******	5	-1.28E-1	-1.02E-4	-3.15E-2
1.37E+1	******	******	******	******	5	-1.22E-1	-1.3E-4	-3E-2
1.38E+1	******	******	******	******	5	-1.35E-1	-3.84E-5	-3.31E-2
1.39E+1	******	******	******	******	5	-1.26E-1	-9.84E-5	-3.1E-2
1.4E+1	******	******	******	******	5	-2.78E-2	-1.71E-4	-6.82E-3
1.41E+1	******	******	******	******	5	-1.13E-1	-8.04E-5	-2.78E-2
1.42E+1	******	******	******	******	5	-1.14E-1	-3.6E-6	-2.81E-2
1.43E+1	******	******	******	******	5	-2.85E-2	-1.19E-4	-7E-3
1.44E+1	******	******	******	******	5	-1.14E-1	3.79E-5	-2.79E-2
1.45E+1	******	******	******	******	5	-1.57E-1	4.16E-5	-3.86E-2
1.46E+1	******	******	******	******	5	-9.8E-2	6.23E-5	-2.41E-2
1.47E+1	******	******	******	******	5	-8.05E-2	3.9E-6	-1.98E-2
1.48E+1	******	******	******	******	5	-2.02E-1	1.51E-4	-4.97E-2
1.49E+1	******	******	******	******	5	-1.67E-1	3.29E-5	-4.12E-2
1.5E+1	******	******	******	******	5	-1.02E-1	4.57E-5	-2.5E-2
1.51E+1	******	******	******	******	5	-1.17E-1	-7.17E-5	-2.88E-2
1.52E+1	******	******	******	******	5	-1.64E-1	5.2E-5	-4.03E-2
1.53E+1	******	******	******	******	5	-1.72E-2	-1.72E-4	-4.22E-3
1.54E+1	******	******	******	******	5	-1.05E-1	-9.72E-5	-2.58E-2
1.55E+1	******	******	******	******	5	-1.08E-1	-4.15E-5	-2.65E-2
1.56E+1	******	******	******	******	5	-4.22E-2	-9.12E-5	-1.04E-2
1.57E+1	******	******	******	******	5	-3.67E-2	-1.09E-4	-9.02E-3
1.58E+1	******	******	******	******	5	-6.3E-2	-9.86E-5	-1.55E-2
1.59E+1	******	******	******	******	5	-6.73E-2	7.88E-5	-1.65E-2
1.6E+1	******	******	******	******	5	-1.58E-2	-1.08E-4	-3.89E-3
1.61E+1	******	******	******	******	5	-1.27E-1	1.07E-4	-3.12E-2
1.62E+1	******	******	******	******	5	-1E-1	4.25E-5	-2.47E-2
1.63E+1	******	******	******	******	5	-6.56E-2	6.77E-5	-1.61E-2
1.64E+1	******	******	******	******	5	-1.81E-1	1.19E-4	-4.44E-2
1.65E+1	******	******	******	******	5	-1.4E-1	1.1E-4	-3.43E-2
1.66E+1	******	******	******	******	5	-7.86E-2	-3.69E-5	-1.93E-2
1.67E+1	******	******	******	******	5	-1.36E-1	1.27E-5	-3.34E-2
1.68E+1	******	******	******	******	5	-1.65E-1	2.51E-5	-4.07E-2
1.69E+1	******	******	******	******	5	-6.92E-2	-6.83E-5	-1.7E-2
1.7E+1	******	******	******	******	5	-6.96E-2	-1.36E-4	-1.71E-2
1.71E+1	******	******	******	******	5	-1.24E-1	1.37E-5	-3.05E-2
1.72E+1	******	******	******	******	5	-1.97E-2	-2.13E-4	-4.84E-3
1.73E+1	******	******	******	******	5	-2.29E-2	-8.52E-5	-5.63E-3
1.74E+1	******	******	******	******	5	-7.13E-2	-1.26E-4	-1.75E-2
1.75E+1	******	******	******	******	5	-7.97E-2	3.74E-6	-1.96E-2
1.76E+1	******	******	******	******	5	-2.08E-2	-5.45E-5	-5.11E-3
1.77E+1	******	******	******	******	5	-9.1E-2	4.99E-5	-2.24E-2
1.78E+1	******	******	******	******	5	-1.04E-1	3.58E-5	-2.55E-2
1.79E+1	******	******	******	******	5	-7.46E-2	5.79E-5	-1.83E-2
1.8E+1	******	******	******	******	5.01	-1.03E-1	2.1E-5	-2.54E-2
1.81E+1	******	******	******	******	5.01	-1.92E-1	1.38E-4	-4.71E-2
1.82E+1	******	******	******	******	5	-1.1E-1	9.02E-5	-2.7E-2
1.83E+1	******	******	******	******	5	-1.18E-1	-2.24E-5	-2.9E-2
1.84E+1	******	******	******	******	5	-1.79E-1	-2.8E-6	-4.4E-2
1.85E+1	******	******	******	******	5	-7.87E-2	-5.23E-5	-1.93E-2
1.86E+1	******	******	******	******	5	-7.31E-2	-1.05E-4	-1.8E-2
1.87E+1	******	******	******	******	5	-1.15E-1	-9.29E-5	-2.83E-2
1.88E+1	******	******	******	******	5	-6.11E-2	-1.53E-4	-1.5E-2
1.89E+1	******	******	******	******	5	-9.65E-3	-1.49E-4	-2.37E-3
1.9E+1	******	******	******	******	5	-9.35E-2	-2.46E-5	-2.3E-2
1.91E+1	******	******	******	******	5	-7.65E-2	-4.28E-5	-1.88E-2
1.92E+1	******	******	******	******	5	-2.66E-3	-9.43E-5	-6.53E-4
1.93E+1	******	******	******	******	5	-1.16E-1	8.93E-5	-2.86E-2
1.94E+1	******	******	******	******	5	-1.05E-1	5.79E-6	-2.58E-2
1.95E+1	******	******	******	******	5	-9.9E-2	9.15E-5	-2.43E-2
1.96E+1	******	******	******	******	5	-1.49E-1	9.23E-5	-3.67E-2
1.97E+1	******	******	******	******	5	-1.73E-1	1.3E-4	-4.26E-2
1.98E+1	******	******	******	******	5	-1.12E-1	1.29E-5	-2.74E-2
1.99E+1	******	******	******	******	5	-1.3E-1	4.17E-5	-3.19E-2
2E+1	******	******	******	******	5	-1.75E-1	3.2E-5	-4.3E-2
2.01E+1	******	******	******	******	5	-1.07E-1	-5.38E-5	-2.63E-2
2.02E+1	******	******	******	******	5	-5.76E-2	-1.71E-4	-1.42E-2
2.03E+1	******	******	******	******	5	-1.34E-1	-5.31E-6	-3.29E-2
2.04E+1	******	******	******	******	5	-7.67E-2	-7E-5	-1.88E-2
2.05E+1	******	******	******	******	5	-3.74E-2	-7.45E-5	-9.2E-3
2.06E+1	******	******	******	******	5	-2.37E-2	-1.47E-4	-5.84E-3
2.07E+1	******	******	******	******	5	-1.1E-1	-5.63E-6	-2.72E-2
2.08E+1	******	******	******	******	5	-2.82E-2	-2.33E-5	-6.92E-3
2.09E+1	******	******	******	******	5	-6.75E-2	-6.93E-5	-1.66E-2
2.1E+1	******	******	******	******	5	-1.71E-1	1.44E-4	-4.21E-2
2.11E+1	******	******	******	******	5	-1.31E-1	7.61E-5	-3.22E-2
2.12E+1	******	******	******	******	5	-9.34E-2	1.3E-4	-2.29E-2
2.13E+1	******	******	******	******	5	-1.74E-1	6.76E-5	-4.27E-2
2.14E+1	******	******	******	******	5	-1.44E-1	4.5E-5	-3.54E-2
2.15E+1	******	******	******	******	5	-1E-1	-2.06E-5	-2.46E-2
2.16E+1	******	******	******	******	5	-1.42E-1	-2.96E-5	-3.49E-2
2.17E+1	******	******	******	******	5	-1.31E-1	1.65E-5	-3.21E-2
2.18E+1	******	******	******	******	5	-6.01E-2	-1.29E-4	-1.48E-2
2.19E+1	******	******	******	******	5	-8.48E-2	-5.67E-5	-2.08E-2
2.2E+1	******	******	******	******	5	-9.31E-2	-6.66E-5	-2.29E-2
2.21E+1	******	******	******	******	5	-4.88E-2	-1.02E-4	-1.2E-2
2.22E+1	******	******	******	******	5	-3.22E-2	-7.96E-5	-7.92E-3
2.23E+1	******	******	******	******	5	-8.7E-2	-1.23E-4	-2.14E-2
2.24E+1	******	******	******	******	5	-6.95E-2	4.03E-5	-1.71E-2
2.25E+1	******	******	******	******	5	-2.19E-2	-5.72E-5	-5.38E-3
2.26E+1	******	******	******	******	5	-1.12E-1	3.43E-5	-2.76E-2
2.27E+1	******	******	******	******	5	-1.38E-1	1.16E-4	-3.39E-2
2.28E+1	******	******	******	******	5	-5.62E-2	1.01E-4	-1.38E-2
2.29E+1	******	******	******	******	5	-1.51E-1	8.03E-5	-3.71E-2
2.3E+1	******	******	******	******	5	-2.21E-1	1.71E-4	-5.43E-2
2.31E+1	******	******	******	******	5	-8.68E-2	7.35E-5	-2.13E-2
2.32E+1	******	******	******	******	5	-1.04E-1	1.25E-6	-2.56E-2
2.33E+1	******	******	******	******	5	-1.71E-1	2.67E-5	-4.2E-2
2.34E+1	******	******	******	******	5	-1.06E-1	-4.7E-6	-2.61E-2
2.35E+1	******	******	******	******	5	-7.16E-2	-7.94E-5	-1.76E-2
2.36E+1	******	******	******	******	5	-9.94E-2	-6.49E-5	-2.44E-2
2.37E+1	******	******	******	******	5	-1.11E-1	-9.33E-5	-2.72E-2
