Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	5.06E+1	1E-1	3.5E-1	4.99E0	14.2	15	2.03E-1	9.96E-1	4.99E-2
2	7.68E+1	1.58E-1	6.55E-1	7.87E0	12	15	3.22E-1	1E0	7.91E-2
3	9.82E+1	2.51E-1	1.44E0	1.23E+1	8.55	15	5.05E-1	1E0	1.24E-1
4	1.12E+2	3.98E-1	3.17E0	1.92E+1	6.04	15	7.96E-1	1.01E0	1.96E-1
5	1.21E+2	6.31E-1	7.31E0	2.91E+1	3.98	15	1.22E0	1E0	3E-1
6	1.28E+2	1E0	1.66E+1	4.23E+1	2.55	15	1.85E0	1E0	4.56E-1
7	1.36E+2	1.58E0	3.28E+1	5.63E+1	1.72	15	2.66E0	1E0	6.53E-1
8	1.44E+2	2.51E0	5.75E+1	6.72E+1	1.17	15	3.6E0	1E0	8.86E-1
9	1.53E+2	3.98E0	8.78E+1	7.02E+1	0.8	15	4.57E0	1E0	1.12E0
10	1.61E+2	6.31E0	1.2E+2	6.61E+1	0.549	15	5.6E0	1E0	1.38E0
11	1.68E+2	1E+1	1.59E+2	6.03E+1	0.378	15	6.93E0	9.99E-1	1.7E0

