Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1E-1	******	******	******	******	10	3.17E0	1E0	7.78E-1
2E-1	******	******	******	******	10	6.18E0	1E0	1.52E0
3E-1	******	******	******	******	10	7.75E-1	9.99E-1	1.9E-1
4E-1	******	******	******	******	10	1.76E0	1E0	4.32E-1
5E-1	******	******	******	******	10	1.15E0	1E0	2.82E-1
6E-1	******	******	******	******	10	7.62E-1	1E0	1.87E-1
7.01E-1	******	******	******	******	10	6.27E-1	1E0	1.54E-1
8.01E-1	******	******	******	******	10	4.71E-1	1E0	1.16E-1
9.01E-1	******	******	******	******	10	3.2E-1	1E0	7.85E-2
1E0	******	******	******	******	10	2.29E-1	1E0	5.63E-2
1.1E0	******	******	******	******	10	1.39E-1	1E0	3.42E-2
1.2E0	******	******	******	******	10	1.09E-1	1E0	2.69E-2
1.3E0	******	******	******	******	10	4.19E-2	1E0	1.03E-2
1.4E0	******	******	******	******	10	6.24E-2	1E0	1.53E-2
1.5E0	******	******	******	******	10	-5.23E-3	1E0	-1.28E-3
1.6E0	******	******	******	******	10	5.21E-2	1E0	1.28E-2
1.7E0	******	******	******	******	10	2.19E-2	1E0	5.38E-3
1.8E0	******	******	******	******	10	8.06E-2	1E0	1.98E-2
1.9E0	******	******	******	******	10	6.02E-2	1E0	1.48E-2
2E0	******	******	******	******	10	5.89E-2	1E0	1.45E-2
2.1E0	******	******	******	******	10	6.63E-2	1E0	1.63E-2
2.2E0	******	******	******	******	10	-8.31E-2	1E0	-2.04E-2
2.3E0	******	******	******	******	10	-1.13E-1	1E0	-2.78E-2
2.4E0	******	******	******	******	10	-2.98E-2	1E0	-7.33E-3
2.5E0	******	******	******	******	10	-8.3E-2	1E0	-2.04E-2
2.6E0	******	******	******	******	10	-3.61E-2	1E0	-8.88E-3
2.7E0	******	******	******	******	10	-5.35E-3	1E0	-1.32E-3
2.8E0	******	******	******	******	10	5.27E-2	1E0	1.29E-2
2.9E0	******	******	******	******	10	6.58E-3	1E0	1.62E-3
3E0	******	******	******	******	10	6.09E-2	1E0	1.5E-2
3.1E0	******	******	******	******	10	1.81E-2	1E0	4.45E-3
3.2E0	******	******	******	******	10	-7.14E-3	1E0	-1.76E-3
3.3E0	******	******	******	******	10	-4.47E-2	1E0	-1.1E-2
3.4E0	******	******	******	******	10	-2.02E-2	1E0	-4.96E-3
3.5E0	******	******	******	******	10	-9.45E-2	1E0	-2.32E-2
3.6E0	******	******	******	******	10	-1.46E-1	1E0	-3.59E-2
3.7E0	******	******	******	******	10	-1.49E-2	1E0	-3.65E-3
3.8E0	******	******	******	******	10	-6.18E-2	1E0	-1.52E-2
3.9E0	******	******	******	******	10	-3.01E-2	1E0	-7.39E-3
4E0	******	******	******	******	10	1.61E-2	1E0	3.95E-3
