Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	7.11E+1	1E-1	4.8E0	2.77E+1	5.78	10	1.14E0	9.92E-1	2.79E-1
2	1.04E+2	1.58E-1	1.1E+1	4.18E+1	3.82	10	1.76E0	9.98E-1	4.32E-1
3	1.25E+2	2.51E-1	2.37E+1	6.03E+1	2.55	10	2.64E0	1E0	6.48E-1
4	1.42E+2	3.98E-1	4.63E+1	7.99E+1	1.73	10	3.78E0	1.01E0	9.28E-1
5	1.52E+2	6.31E-1	7.91E+1	9.49E+1	1.2	10	5.03E0	1E0	1.24E0
6	1.58E+2	1E0	1.17E+2	1E+2	0.854	10	6.29E0	1E0	1.54E0
7	1.66E+2	1.58E0	1.53E+2	9.64E+1	0.628	10	7.38E0	1E0	1.81E0
8	1.75E+2	2.51E0	1.84E+2	8.75E+1	0.475	10	8.31E0	1E0	2.04E0
9	1.85E+2	3.98E0	2.1E+2	7.79E+1	0.371	10	9.14E0	1E0	2.25E0
10	1.93E+2	6.31E0	2.34E+2	6.99E+1	0.298	10	9.95E0	1E0	2.44E0
11	2E+2	1E+1	2.62E+2	6.59E+1	0.252	10	1.1E+1	1E0	2.7E0
