Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.52E+2	1E-2	8.78E-1	1.13E+1	12.9	5	4.58E-1	9.92E-1	1.12E-1
2	1.04E+3	1.58E-2	2E0	1.78E+1	8.89	5	7.23E-1	9.92E-1	1.78E-1
3	1.24E+3	2.51E-2	4.55E0	2.76E+1	6.06	5	1.14E0	9.99E-1	2.79E-1
4	1.36E+3	3.98E-2	1.05E+1	4.19E+1	3.98	5	1.74E0	9.89E-1	4.28E-1
5	1.41E+3	6.31E-2	2.3E+1	6.07E+1	2.64	5	2.68E0	1.02E0	6.6E-1
6	1.45E+3	1E-1	4.55E+1	8.12E+1	1.78	5	3.8E0	1E0	9.33E-1
7	1.48E+3	1.58E-1	7.87E+1	9.75E+1	1.24	5	5.12E0	1E0	1.26E0
8	1.5E+3	2.51E-1	1.18E+2	1.04E+2	0.884	5	6.37E0	9.96E-1	1.57E0
9	1.51E+3	3.98E-1	1.57E+2	1.01E+2	0.643	5	7.62E0	1.01E0	1.87E0
10	1.52E+3	6.31E-1	1.89E+2	9.12E+1	0.483	5	8.51E0	9.97E-1	2.09E0
11	1.54E+3	1E0	2.16E+2	7.96E+1	0.369	5	9.35E0	9.99E-1	2.3E0
12	1.55E+3	1.58E0	2.36E+2	6.84E+1	0.289	5	1E+1	9.98E-1	2.46E0
13	1.57E+3	2.51E0	2.53E+2	5.97E+1	0.236	5	1.06E+1	1E0	2.6E0
14	1.58E+3	3.98E0	2.67E+2	5.36E+1	0.201	5	1.11E+1	9.97E-1	2.72E0
15	1.6E+3	6.31E0	2.81E+2	5.01E+1	0.178	5	1.16E+1	1E0	2.85E0
16	1.61E+3	1E+1	2.97E+2	4.93E+1	0.166	5	1.22E+1	1E0	3.01E0
