Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	5.06E+1	1E-1	3.16E-1	4.73E0	15	15	1.92E-1	9.96E-1	4.72E-2
2	7.69E+1	1.58E-1	6.33E-1	7.43E0	11.7	15	3.03E-1	9.99E-1	7.45E-2
3	9.82E+1	2.51E-1	1.34E0	1.17E+1	8.72	15	4.79E-1	1E0	1.18E-1
4	1.12E+2	3.98E-1	3.08E0	1.81E+1	5.88	15	7.52E-1	1.01E0	1.85E-1
5	1.21E+2	6.31E-1	6.76E0	2.76E+1	4.08	15	1.16E0	1.01E0	2.86E-1
6	1.28E+2	1E0	1.55E+1	4.01E+1	2.59	15	1.75E0	1E0	4.3E-1
7	1.36E+2	1.58E0	3.14E+1	5.41E+1	1.72	15	2.55E0	1E0	6.27E-1
8	1.44E+2	2.51E0	5.67E+1	6.51E+1	1.15	15	3.52E0	1E0	8.64E-1
9	1.53E+2	3.98E0	8.96E+1	6.86E+1	0.765	15	4.59E0	1E0	1.13E0
10	1.61E+2	6.31E0	1.31E+2	6.52E+1	0.497	15	5.96E0	1E0	1.47E0
11	1.67E+2	1E+1	1.91E+2	5.88E+1	0.307	15	8.15E0	1E0	2E0
