Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	5.06E+1	1E-1	1.28E-1	8.31E-1	6.49	19.9	3.42E-2	9.99E-1	8.4E-3
2	7.68E+1	1.58E-1	1.42E-1	1.29E0	9.1	19.9	5.3E-2	1E0	1.3E-2
3	9.38E+1	2.51E-1	2.17E-1	2.04E0	9.43	19.9	8.39E-2	1E0	2.06E-2
4	1.05E+2	3.98E-1	4.66E-1	3.17E0	6.79	20	1.31E-1	1E0	3.21E-2
5	1.12E+2	6.31E-1	8.18E-1	5.04E0	6.16	20	2.08E-1	1E0	5.11E-2
6	1.17E+2	1E0	1.34E0	7.55E0	5.62	20	3.13E-1	1E0	7.7E-2
7	1.24E+2	1.58E0	3.36E0	1.32E+1	3.92	20	5.51E-1	9.98E-1	1.35E-1
8	1.31E+2	2.51E0	7.51E0	1.84E+1	2.45	20	8.08E-1	1E0	1.98E-1
9	1.4E+2	3.98E0	1.7E+1	2.7E+1	1.59	20	1.3E0	1E0	3.19E-1
10	1.46E+2	6.31E0	3.9E+1	3.68E+1	0.942	20	2.18E0	1E0	5.37E-1
11	1.52E+2	1E+1	8.55E+1	4.46E+1	0.522	20	3.92E0	9.99E-1	9.63E-1
