Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	5.04E+1	1E-1	1.08E0	1.6E0	1.48	20	7.83E-2	9.97E-1	1.92E-2
2	7.67E+1	1.58E-1	1.29E0	2.33E0	1.81	20	1.08E-1	1E0	2.66E-2
3	9.36E+1	2.51E-1	1.53E0	3.38E0	2.21	20	1.51E-1	1E0	3.72E-2
4	1.05E+2	3.98E-1	1.97E0	5.13E0	2.61	20	2.24E-1	1E0	5.52E-2
5	1.12E+2	6.31E-1	2.42E0	7.66E0	3.16	20	3.29E-1	1E0	8.08E-2
6	1.17E+2	1E0	3.06E0	1.17E+1	3.82	20	4.95E-1	1E0	1.22E-1
7	1.24E+2	1.58E0	4.96E0	1.77E+1	3.58	20	7.48E-1	9.98E-1	1.84E-1
8	1.31E+2	2.51E0	9.04E0	2.58E+1	2.86	20	1.11E0	9.98E-1	2.73E-1
9	1.4E+2	3.98E0	1.65E+1	3.6E+1	2.18	20	1.61E0	1E0	3.96E-1
10	1.47E+2	6.31E0	2.72E+1	4.66E+1	1.71	20	2.2E0	1E0	5.4E-1
11	1.53E+2	1E+1	4.01E+1	5.21E+1	1.3	20	2.68E0	1E0	6.58E-1
