Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	5.51E+2	1E-2	2.74E-1	2.36E0	8.63	10	9.64E-2	9.96E-1	2.37E-2
2	7.41E+2	1.58E-2	3.85E-1	3.69E0	9.59	10	1.52E-1	1E0	3.73E-2
3	9.21E+2	2.51E-2	5.42E-1	5.78E0	10.7	10	2.37E-1	1E0	5.83E-2
4	1.02E+3	3.98E-2	8.85E-1	9.06E0	10.2	10	3.72E-1	1E0	9.14E-2
5	1.08E+3	6.31E-2	1.69E0	1.42E+1	8.38	10	5.85E-1	1E0	1.44E-1
6	1.12E+3	1E-1	3.63E0	2.21E+1	6.07	10	9.15E-1	1.01E0	2.25E-1
7	1.15E+3	1.58E-1	8.17E0	3.36E+1	4.12	10	1.41E0	1E0	3.47E-1
8	1.17E+3	2.51E-1	1.78E+1	4.91E+1	2.76	10	2.13E0	1E0	5.23E-1
9	1.18E+3	3.98E-1	3.58E+1	6.64E+1	1.85	10	3.08E0	1E0	7.56E-1
10	1.19E+3	6.31E-1	6.31E+1	8.05E+1	1.28	10	4.16E0	1E0	1.02E0
11	1.2E+3	1E0	9.53E+1	8.62E+1	0.904	10	5.23E0	1E0	1.29E0
12	1.21E+3	1.58E0	1.27E+2	8.35E+1	0.659	10	6.18E0	1E0	1.52E0
13	1.22E+3	2.51E0	1.52E+2	7.58E+1	0.5	10	6.9E0	1E0	1.7E0
14	1.23E+3	3.98E0	1.7E+2	6.74E+1	0.398	10	7.43E0	1E0	1.83E0
15	1.24E+3	6.31E0	1.78E+2	6.04E+1	0.34	10	7.64E0	1E0	1.88E0
16	1.24E+3	1E+1	1.7E+2	5.69E+1	0.334	10	7.31E0	1E0	1.8E0

