Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	6.09E+1	1E-1	3.73E0	2.32E+1	6.22	10	9.48E-1	9.9E-1	2.33E-1
2	9.39E+1	1.58E-1	8.64E0	3.53E+1	4.09	10	1.48E0	9.99E-1	3.63E-1
3	1.15E+2	2.51E-1	1.91E+1	5.14E+1	2.69	10	2.23E0	1E0	5.49E-1
4	1.32E+2	3.98E-1	3.84E+1	6.89E+1	1.8	10	3.23E0	1.01E0	7.93E-1
5	1.41E+2	6.31E-1	6.72E+1	8.27E+1	1.23	10	4.35E0	1E0	1.07E0
6	1.48E+2	1E0	1E+2	8.66E+1	0.864	10	5.45E0	1.01E0	1.34E0
7	1.55E+2	1.58E0	1.34E+2	8.33E+1	0.623	10	6.44E0	1E0	1.58E0
8	1.63E+2	2.51E0	1.63E+2	7.44E+1	0.458	10	7.28E0	1E0	1.79E0
9	1.74E+2	3.98E0	1.88E+2	6.39E+1	0.341	10	8.06E0	1E0	1.98E0
10	1.82E+2	6.31E0	2.14E+2	5.5E+1	0.257	10	9E0	1E0	2.21E0
11	1.89E+2	1E+1	2.53E+2	4.95E+1	0.196	10	1.05E+1	1E0	2.58E0
