Display Setting,Diameter

Item,Value,Unit
Y16SE8-1mM-NP500nm-01pct-cooling2_5688.nsz,,
Measurement Results,,
Date,2025”N7ŒŽ3“ú 11:19:00,
Measurement Type,Particle Size,
Sample Name,Y16SE8-1mM-NP500nm-01pct-cooling2,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,73.9,°C
Dispersion Medium Viscosity,0.387,mPa·s
Transmission Intensity before Meas.,5494,
Transmission Intensity after Meas.,5509,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,3714,kCPS
ACF Intercept,0.996,
Calculation Results,,
Cumulant Operations,,
Z-Average,2397.7,nm
PI,0.290,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.997809,0.997748
2,0.997263,0.997293
3,0.996709,0.996689
4,0.995913,0.995886
5,0.994815,0.994866
6,0.993617,0.993639
7,0.992202,0.992184
8,0.990505,0.990465
9,0.988407,0.98843
10,0.986,0.985988
11,0.982925,0.982965
12,0.979103,0.9791
13,0.974085,0.97405
14,0.967403,0.967359
15,0.958367,0.958392
16,0.946238,0.946288
17,0.929913,0.929934
18,0.907943,0.907955
19,0.878719,0.878704
20,0.840399,0.840298
21,0.790838,0.790787
22,0.728437,0.728506
23,0.652682,0.65268
24,0.563802,0.56422
25,0.466562,0.46646
26,0.366329,0.3653
27,0.267706,0.268184
28,0.181215,0.182033
29,0.111274,0.111525
30,0.01,0
31,0.01,0
32,0.0496334,0
33,0.01,0
34,0.01,0
35,0.01,0
36,0.01,0


