Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;1.01;4.35;0.004;2170;306;306;1;0.174;25;17.8;WMa
2;0.99;5.08;0.00587;2770;404;316;0.781;0.171;25;20.8;
3;1.01;5.93;0.00862;3180;501;310;0.618;0.174;25;24.3;
4;0.999;6.52;0.0126;3450;585;288;0.492;0.173;25;26.6;
5;1;7.14;0.0186;3590;662;262;0.396;0.173;25;29.2;
6;1;7.61;0.0273;3680;724;232;0.32;0.173;25;31.1;
7;1;8.03;0.04;3740;776;202;0.261;0.173;25;32.8;
8;0.997;8.38;0.0587;3790;821;177;0.215;0.172;25;34.3;
9;0.999;8.71;0.0862;3830;858;152;0.177;0.173;25;35.6;
10;1;9.02;0.126;3860;889;131;0.148;0.174;25;36.9;
11;0.995;9.18;0.186;3890;915;113;0.123;0.172;25;37.5;
12;1;9.43;0.273;3910;937;98.1;0.105;0.173;25;38.6;
13;0.997;9.57;0.4;3920;956;86;0.09;0.172;25;39.1;
14;1;9.76;0.587;3930;973;75.5;0.0776;0.173;25;39.9;
15;1;9.9;0.862;3940;987;67.3;0.0683;0.173;25;40.5;
16;0.996;9.98;1.26;3940;1000;61.9;0.0619;0.172;25;40.8;
17;1;10.1;1.86;3950;1010;57.9;0.0572;0.173;25;41.4;
18;1;10.3;2.73;3960;1020;56;0.0547;0.173;25;42;
19;1;10.4;4;3970;1040;54.2;0.0523;0.173;25;42.4;
20;0.999;10.5;5.87;3970;1050;54.1;0.0516;0.173;25;42.9;
21;1;10.7;8.62;3980;1060;55.7;0.0523;0.173;25;43.6;
22;1;10.8;12.6;3990;1080;59.5;0.055;0.173;25;44.4;
23;1;11.2;18.6;4000;1120;62.4;0.056;0.173;25;45.7;
24;1;11.8;27.3;4010;1170;63;0.0536;0.173;25;48.1;
25;1;12.7;40;4020;1270;57.3;0.045;0.173;25;52.1;
