Display Setting,Diameter

Item,Value,Unit
Y32SE6-500uM-NP500nm-0.1pct-cooling3_6959.nsz,,
Measurement Results,,
Date,2025”N12ŒŽ22“ú 14:35:03,
Measurement Type,Particle Size,
Sample Name,Y32SE6-500uM-NP500nm-0.1pct-cooling3,
Material,   ,
Scattering Angle,90,
Temperature of the Holder,47.9,°C
Dispersion Medium Viscosity,0.569,mPa·s
Transmission Intensity before Meas.,12385,
Transmission Intensity after Meas.,12523,
Run Duration,120,Seconds
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,131,kCPS
ACF Intercept,0.876,
Calculation Results,,
Cumulant Operations,,
Z-Average,1374.6,nm
PI,1.772,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.932294,0.93276
2,0.927351,0.926417
3,0.91922,0.918161
4,0.909517,0.90745
5,0.896262,0.894195
6,0.879737,0.878677
7,0.860726,0.860694
8,0.83743,0.83989
9,0.811129,0.816014
10,0.784168,0.789347
11,0.758136,0.760977
12,0.733748,0.733136
13,0.714265,0.70891
14,0.698962,0.691081
15,0.688694,0.680522
16,0.680722,0.675609
17,0.674989,0.673489
18,0.669993,0.671979
19,0.664941,0.670133
20,0.660711,0.667612
21,0.655843,0.664148
22,0.650726,0.659396
23,0.644696,0.652893
24,0.638063,0.644023
25,0.630783,0.631977
26,0.621202,0.61572
27,0.60917,0.593967
28,0.593739,0.565199
29,0.57597,0
30,0.550818,0
31,0.517737,0
32,0.473046,0
33,0.415669,0
34,0.340183,0
35,0.224894,0
36,0.01,0


