Concentration (uM)	DH (kcal/mol)	DS (cal/mol/K)	Tm (C)	DH (kJ/mol)	DS (J/mol/K)
1	5.6	19.7	0.5	23.408	82.346
2	7.5	26.5	0.6	31.35	110.77
5	9.9	34.8	5.1	41.382	145.464
10	11.3	39.7	8.6	47.234	165.946
20	12.5	43.3	12.3	52.25	180.994
50	13.5	46.4	17.2	56.43	193.952
75	13.9	47.3	19.5	58.102	197.714
100	14.1	47.8	21.1	58.938	199.804
150	14.3	48.4	23.4	59.774	202.312
200	14.5	48.6	25.1	60.61	203.148
300	14.7	48.9	27.5	61.446	204.402
400	14.8	49	29.2	61.864	204.82
450	14.8	49	29.9	61.864	204.82
500	14.8	49	30.6	61.864	204.82
600	14.9	49.1	31.7	62.282	205.238
750	14.9	49.1	33.1	62.282	205.238
800	15	49.1	33.5	62.7	205.238
900	15	49	34.2	62.7	204.82
1000	15	49	34.9	62.7	204.82
1200	15	49	36	62.7	204.82
1500	15.1	48.9	37.4	63.118	204.402
2000	15.1	48.8	39.3	63.118	203.984
3000	15.2	48.6	41.9	63.536	203.148
