# concentration (uM) 	 Tm (C)
1.000000E+00	7.242995E+01
2.000000E+00	7.336446E+01
5.000000E+00	7.468743E+01
1.000000E+01	7.566255E+01
2.000000E+01	7.669588E+01
5.000000E+01	7.809464E+01
1.000000E+02	7.923489E+01
2.000000E+02	8.048920E+01
5.000000E+02	8.231942E+01
1.000000E+03	8.381826E+01
1.500000E+03	8.471860E+01
